설치주소,설치건물,보유수량,관리부서명,관리부서 전화번호,데이터기준일자
서울특별시 동대문구 천호대로 26,신설동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로27길 35,용두동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 무학로 133,용두어린이영어도서관,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로2길 23-9,신설동 복지지원센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 무학로26길 16,신동아아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 왕산로 81,두산베어스타워,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로25길 81,랜드마크타워,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 왕산로 60-1,동대문여성인력개발센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 왕산로16길 47,청재제일타운아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 정릉천동로 58,롯데캐슬피렌체,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 정릉천동로 16,용두두산위브,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 약령시로 71,제기동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 약령시로 154,미주아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 정릉천동로 90,현대아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 정릉천동로 100,공성아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 홍릉로15길 50,정화여자상업고등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 고산자로 518,홍파초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로21길 52,전농동 공용주차장,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로25길 17-8,전곡마을마당,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 서울시립대로 75,신성미소지움아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 서울시립대로 31,동아아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로 98,대한노인회 동대문지회,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로31길 33,화목경로당,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 서울시립대로9길 21,전농1동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로 193,배봉초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로16길 61,전동초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로13길 71,전농중학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로13길 67,전일중학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로20길 31,해성여고,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로20길 31,해성국제컨벤션고등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로 172,서울전곡초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 서울시립대로 163,서울시립대학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로 137,전농2동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 130,래미안위브아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
