연번,행정동,주소,상세위치,데이터 기준일
1,신설동,서울특별시 동대문구 한빛로 61,전신주,2026-03-17
2,신설동,서울특별시 동대문구 한빛로 39,울타리,2026-03-17
3,신설동,서울특별시 동대문구 한빛로 33-2,가로수,2026-03-17
4,신설동,서울특별시 동대문구 한빛로 15,전신주,2026-03-17
5,신설동,서울특별시 동대문구 한빛로1길 10-1,전신주,2026-03-17
6,신설동,서울특별시 동대문구 안암로6길 15,울타리,2026-03-17
7,신설동,서울특별시 동대문구 무학로49길 75,화단 앞,2026-03-17
8,신설동,서울특별시 동대문구 무학로49길 60,화단 앞,2026-03-17
9,신설동,서울특별시 동대문구 안암로14길 11,담벼락,2026-03-17
10,신설동,서울특별시 동대문구 안암로 42,가로수,2026-03-17
11,신설동,서울특별시 동대문구 안암로 58,전신주,2026-03-17
12,신설동,서울특별시 동대문구 무학로 197,전신주,2026-03-17
13,신설동,서울특별시 동대문구 무학로37길 26,전신주,2026-03-17
14,신설동,서울특별시 동대문구 왕산로9길 15,전신주,2026-03-17
15,신설동,서울특별시 동대문구 천호대로13길 67,담벼락,2026-03-17
16,신설동,서울특별시 동대문구 무학로35길 32,가로등,2026-03-17
17,신설동,서울특별시 동대문구 천호대로9가길 18,울타리,2026-03-17
18,신설동,서울특별시 동대문구 천호대로7길 17,다리 끝,2026-03-17
19,신설동,서울특별시 동대문구 무학로23길 22-1,담벼락,2026-03-17
20,신설동,서울특별시 동대문구 무학로26길 45,가로등,2026-03-17
21,신설동,서울특별시 동대문구 천호대로22길 31,담벼락,2026-03-17
22,신설동,서울특별시 동대문구 무학로16길 69,담벼락,2026-03-17
23,신설동,서울특별시 동대문구 무학로16길 37,가로등,2026-03-17
24,신설동,서울특별시 동대문구 천호대로16길 30,가로등,2026-03-17
25,신설동,서울특별시 동대문구 무학로26길 13,전신주,2026-03-17
26,신설동,서울특별시 동대문구 천호대로 23,울타리,2026-03-17
27,신설동,서울특별시 동대문구 청계천로13길 21,담벼락,2026-03-17
28,신설동,서울특별시 동대문구 청계천로13길 31,담벼락,2026-03-17
29,신설동,서울특별시 동대문구 천호대로22길 23,전신주,2026-03-17
30,신설동,서울특별시 동대문구 하정로 36,가로등,2026-03-17
31,용두동,서울특별시 동대문구 고산자로34길 12,담벼락,2026-03-17
32,용두동,서울특별시 동대문구 왕산로28길 43,화단 앞,2026-03-17
33,용두동,서울특별시 동대문구 고산자로30길 29,전신주,2026-03-17
34,용두동,서울특별시 동대문구 고산자로28가길 2,전신주,2026-03-17
35,용두동,서울특별시 동대문구 천호대로29가길 1,전신주,2026-03-17
36,용두동,서울특별시 동대문구 천호대로35길 8,가로등,2026-03-17
37,용두동,서울특별시 동대문구 천호대로29가길 40,가로등,2026-03-17
38,용두동,서울특별시 동대문구 천호대로45길 29,담벼락,2026-03-17
39,용두동,서울특별시 동대문구 고산자로30길 93,담벼락,2026-03-17
40,용두동,서울특별시 동대문구 천호대로45길 65-1,전신주,2026-03-17
41,용두동,서울특별시 동대문구 천호대로45길 75,전신주,2026-03-17
42,용두동,서울특별시 동대문구 천호대로45길 89,가로수,2026-03-17
43,용두동,서울특별시 동대문구 천호대로25길 5,담벼락,2026-03-17
44,용두동,서울특별시 동대문구 천호대로25길 21,담벼락,2026-03-17
45,용두동,서울특별시 동대문구 천호대로25길 37,담벼락,2026-03-17
46,용두동,서울특별시 동대문구 천호대로25길 55,담벼락,2026-03-17
47,용두동,서울특별시 동대문구 천호대로25길 67,담벼락,2026-03-17
48,용두동,서울특별시 동대문구 천호대로25길 81,담벼락,2026-03-17
49,용두동,서울특별시 동대문구 왕산로 74-1,가로등,2026-03-17
50,용두동,서울특별시 동대문구 무학로36길 32,전신주,2026-03-17
51,용두동,서울특별시 동대문구 천호대로17길 64,전신주,2026-03-17
52,용두동,서울특별시 동대문구 왕산로22길 52,담벼락,2026-03-17
53,용두동,서울특별시 동대문구 천호대로17길 41,전신주,2026-03-17
54,용두동,서울특별시 동대문구 왕산로16길 48,담벼락,2026-03-17
55,용두동,서울특별시 동대문구 무학로32길 27,담벼락,2026-03-17
56,용두동,서울특별시 동대문구 천호대로21길 33,담벼락,2026-03-17
57,용두동,서울특별시 동대문구 무학로32길 56,담벼락,2026-03-17
58,용두동,서울특별시 동대문구 무학로30길 26,담벼락,2026-03-17
59,용두동,서울특별시 동대문구 무학로30길 8,가로등,2026-03-17
60,용두동,서울특별시 동대문구 왕산로26길 10,가로등,2026-03-17
61,용두동,서울특별시 동대문구 고산자로31길 12,담벼락,2026-03-17
62,용두동,서울특별시 동대문구 천호대로27길 16,전신주,2026-03-17
63,용두동,서울특별시 동대문구 한빛로 78,가로등,2026-03-17
64,용두동,서울특별시 동대문구 무학로 178,가로수,2026-03-17
65,용두동,서울특별시 동대문구 천호대로13길 53,가로등,2026-03-17
66,제기동,서울특별시 동대문구 제기로 74-1,전신주,2026-03-17
67,제기동,서울특별시 동대문구 제기로20길 20,전신주,2026-03-17
68,제기동,서울특별시 동대문구 고산자로52길 3,전신주,2026-03-17
69,제기동,서울특별시 동대문구 고산자로52길 43-3,전신주,2026-03-17
70,제기동,서울특별시 동대문구 고산자로54길 66,전신주,2026-03-17
71,제기동,서울특별시 동대문구 제기로17길 68,가로등,2026-03-17
72,제기동,서울특별시 동대문구 제기로17길 45,가로등,2026-03-17
73,제기동,서울특별시 동대문구 정릉천동로 122,전신주,2026-03-17
74,제기동,서울특별시 동대문구 정릉천동로 142,가로등,2026-03-17
75,제기동,서울특별시 동대문구 안암로24길 5,전신주,2026-03-17
76,제기동,서울특별시 동대문구 약령시로9길 45,화단 옆,2026-03-17
77,제기동,서울특별시 동대문구 약령시로9길 33,울타리,2026-03-17
78,제기동,서울특별시 동대문구 약령시로9길 15,가로등,2026-03-17
79,제기동,서울특별시 동대문구 약령시로 37,가로수 옆,2026-03-17
80,제기동,서울특별시 동대문구 약령시로 25,가로등,2026-03-17
81,제기동,서울특별시 동대문구 약령시로 5-7,울타리 벽,2026-03-17
82,제기동,서울특별시 동대문구 제기로 16,가로등,2026-03-17
83,제기동,서울특별시 동대문구 제기로4나길 8,울타리 앞,2026-03-17
84,제기동,서울특별시 동대문구 약령시로3길 38,울타리 앞,2026-03-17
85,제기동,서울특별시 동대문구 약령시로3길 22,울타리 앞,2026-03-17
86,제기동,서울특별시 동대문구 약령시로5길 23-6,가로수,2026-03-17
