번호,명칭,행정동,주소,상세위치,연락처
1,다일천사병원,전농동,서울특별시 동대문구 서울시립대로 57,천사병원 B1/1/2/3/6층,02-2213-8004
2,동서울병원,신설동,서울특별시 동대문구 왕산로 18,,02-926-9171
3,린여성병원,장안동,서울특별시 동대문구 답십리로 266,파워스빌딩,02-2244-1212
4,맑은수병원,장안동,서울특별시 동대문구 천호대로83길 44,,02-2681-0119
5,멘토스병원,답십리동,서울특별시 동대문구 한천로 49,,02-2214-5100
6,서울나은병원,제기동,서울특별시 동대문구 왕산로 137,,02-1544-6003
7,서울명병원,용두동,서울특별시 동대문구 고산자로 421,,02-965-2800
8,지혜병원,장안동,서울특별시 동대문구 천호대로 421,,02-499-9955
9,참튼튼병원,장안동,서울특별시 동대문구 답십리로 261,,1588-7562
10,코리아병원,장안동,서울특별시 동대문구 장한로 143,,02-2281-9999
11,동대문구보건소,용두동,서울특별시 동대문구 천호대로 145,,02-2127-5428
