위치정보,소재지도로명주소,위도,경도
갈현 한솔 아파트,서울특별시 은평구 갈현로23길 41,37.6179951200,126.9098972000
현재트윈빌 아파트,서울특별시 은평구 서오릉로20길 5-10,37.6168646100,126.9084638000
갈현 우남 아파트,서울특별시 은평구 서오릉로 258,37.6176782600,126.9068094000
갈현 베르빌 아파트,서울특별시 은평구 연서로 149,37.6122105100,126.9167547000
갈현 세광교회,서울특별시 은평구 갈현로 192,37.6147257600,126.9129804000
범우빌라,서울특별시 은평구 연서로17길 20-11,37.6138645200,126.9153489000
서울갈현초등학교,서울특별시 은평구 연서로29길 31,37.6197784700,126.9166791000
선정중학교,서울특별시 은평구 서오릉로20길 19,37.6187080100,126.9090372000
대성중학교,서울특별시 은평구 갈현로29길 51-24,37.6231389900,126.9097882000
선일여자중학교,서울특별시 은평구 갈현로29길 27,37.6203030600,126.9119931000
대성고등학교,서울특별시 은평구 갈현로29길 51-24,37.6231389900,126.9097882000
갈현제1동주민센터,서울특별시 은평구 갈현로 301,37.6236889300,126.9166790000
갈현 건영 아파트,서울특별시 은평구 갈현로45길 57,37.6289748500,126.9133963000
갈현 현대 아파트(1차),서울특별시 은평구 갈현로33길 24,37.6219701600,126.9139739000
갈현 라이프 씨티,서울특별시 은평구 갈현로29길 61,37.6230829300,126.9105480000
갈현 코롱하늘채,서울특별시 은평구 갈현로29길 62,37.6233566500,126.9109178000
갈현 메카 아파트,서울특별시 은평구 갈현로29길 52,37.6223994600,126.9116681000
갈현 미미 아파트,서울특별시 은평구 갈현로29길 11,37.6192309800,126.9139684000
선일초등학교,서울특별시 은평구 갈현로29길 27,37.6203030600,126.9119931000
선정고등학교,서울특별시 은평구 서오릉로20길 19,37.6187080100,126.9090372000
선일여자고등학교,서울특별시 은평구 갈현로29길 27,37.6203030600,126.9119931000
선정국제관광고등학교,서울특별시 은평구 서오릉로20길 19,37.6187080100,126.9090372000
선일이비즈니스고등학교,서울특별시 은평구 갈현로29길 27,37.6203030600,126.9119931000
갈현제2동주민센터,서울특별시 은평구 연서로27길 31-6,37.6186709400,126.9157776000
동익 아파트,서울특별시 은평구 서오릉로23길 9-8,37.6149966000,126.9071771000
갈현 현대 아파트(2차),서울특별시 은평구 서오릉로21길 36,37.6127687200,126.9049784000
갈현2차 e-편한 아파트,서울특별시 은평구 서오릉로21길 48,37.6123397500,126.9053584000
갈현1차 e-편한 아파트,서울특별시 은평구 서오릉로21길 47,37.6126229200,126.9067474000
갈현 경향파크빌,서울특별시 은평구 갈현로15길 53,37.6108738900,126.9056630000
은평마을,서울특별시 은평구 갈현로15길 27-1,37.6078776400,126.9070886000
구산 브라운스톤아파트,서울특별시 은평구 갈현로17길 17,37.6119038500,126.9088873000
진성전기,서울특별시 은평구 갈현로 95,37.6064127800,126.9104284000
서울재활병원,서울특별시 은평구 갈현로11길 30,37.6056451700,126.9063398000
구산 그린빌,서울특별시 은평구 갈현로7길 56,37.6051322600,126.9044673000
경남아너스,서울특별시 은평구 갈현로11길 46,37.6047985200,126.9054009000
서울구산초등학교,서울특별시 은평구 서오릉로15길 16,37.6127463000,126.9093734000
예일초등학교,서울특별시 은평구 연서로 117,37.6109490700,126.9147909000
서울구현초등학교,서울특별시 은평구 갈현로15길 51,37.6098485300,126.9058593000
구산중학교,서울특별시 은평구 갈현로15길 20-23,37.6098730300,126.9094833000
은평중학교,서울특별시 은평구 갈현로17나길 12-1,37.6106374500,126.9083508000
예일여자중학교,서울특별시 은평구 연서로 117,37.6109490700,126.9147909000
예일여자고등학교,서울특별시 은평구 연서로 117,37.6109490700,126.9147909000
은평고등학교,서울특별시 은평구 갈현로15길 51,37.6098485300,126.9058593000
예일디자인고등학교,서울특별시 은평구 연서로 117,37.6109490700,126.9147909000
구산동주민센터,서울특별시 은평구 갈현로17길 10,37.6117551700,126.9103506000
해주드림빌,서울특별시 은평구 응암로 366,37.6040494700,126.9229206000
은평감리교회,서울특별시 은평구 응암로 376,37.6045295400,126.9231968000
녹번 I파크 아파트,서울특별시 은평구 서오릉로4길 7-8,37.6050468400,126.9245937000
은평문화예술회관,서울특별시 은평구 녹번로 16,37.6036981700,126.9278861000
녹번 현대 아파트,서울특별시 은평구 녹번로 40,37.6048914100,126.9293073000
대한적십자사,서울특별시 은평구 통일로 627,37.6027511100,126.9347513000
녹번 E편한세상,서울특별시 은평구 통일로 586,37.5993145200,126.9373483000
녹번 JR아파트,서울특별시 은평구 통일로 586-19,37.6002447100,126.9375842000
녹번힐스테이트아파트,서울특별시 은평구 통일로 610,37.6019779200,126.9359401000
녹번 삼성레미안아파트,서울특별시 은평구 통일로 630,37.6028430000,126.9359505000
북한산 푸르지오아파트,서울특별시 은평구 통일로 660,37.6058984400,126.9360542000
서울녹번초등학교,서울특별시 은평구 녹번로1길 1,37.6045797500,126.9257443000
서울은평초등학교,서울특별시 은평구 은평로 239,37.6023031200,126.9340329000
서울어울초등학교,서울특별시 은평구 통일로 650,37.6065652500,126.9350594000
녹번동주민센터,서울특별시 은평구 은평로 195,37.6024542200,126.9288212000
은평구청,서울특별시 은평구 은평로 195,37.6024542200,126.9288212000
한진광고,서울특별시 은평구 통일로 795-1,37.6151688300,126.9249692000
서울대조초등학교,서울특별시 은평구 연서로18길 17,37.6135764100,126.9193061000
서울대은초등학교,서울특별시 은평구 통일로69길 12-15,37.6123658100,126.9258703000
동명여자고등학교,서울특별시 은평구 통일로 793,37.6144193900,126.9228165000
동명여자정보산업고등학교,서울특별시 은평구 통일로 793,37.6144193900,126.9228165000
대조동주민센터,서울특별시 은평구 연서로20길 24-3,37.6141757700,126.9208039000
미성아파트,서울특별시 은평구 통일로 780,37.6158218400,126.9284145000
북한산힐스테이트7차,서울특별시 은평구 통일로 796,37.6163383300,126.9257566000
불광 구립도서관,서울특별시 은평구 통일로78가길 13-84,37.6189741200,126.9282674000
삼익 아파트,서울특별시 은평구 불광로 153,37.6204725600,126.9315536000
삼익빌라,서울특별시 은평구 불광로 146,37.6203912700,126.9325290000
북한산 힐스테이트 3차,서울특별시 은평구 불광로 122-10,37.6182595700,126.9339413000
대호 아파트,서울특별시 은평구 불광로 98-8,37.6149945800,126.9335801000
롯데캐슬,서울특별시 은평구 불광로2길 27,37.6128205000,126.9342907000
남해그린힐,서울특별시 은평구 불광로6길 20,37.6138213300,126.9343671000
경북철재,서울특별시 은평구 불광로 65,37.6128790800,126.9317980000
현대 홈타운 아파트,서울특별시 은평구 불광로2길 16,37.6116759400,126.9332650000
북한산 힐스테이트 1차,서울특별시 은평구 볼광로2길 33,37.6064968700,126.9166336000
불광 SH빌 아파트,서울특별시 은평구 불광로2길 46,37.6114996900,126.9357027000
삼성래미안 아파트,서울특별시 은평구 진흥로 267,37.6118534600,126.9389710000
서울불광초등학교,서울특별시 은평구 불광로 51,37.6134279100,126.9307142000
서울수리초등학교,서울특별시 은평구 불광로14길 10-10,37.6203059800,126.9340594000
불광1동주민센터,서울특별시 은평구 진흥로15길 10,37.6103497600,126.9320834000
메트로 쇼핑,서울특별시 은평구 통일로 856,37.6196511300,126.9214725000
윤현 아파트,서울특별시 은평구 통일로82길 44,37.6235022700,126.9208958000
북한산센씨티,서울특별시 은평구 불광로 208,37.6257066300,126.9294623000
서강 아파트,서울특별시 은평구 불광로20길 12-9,37.6239202900,126.9311985000
불광보건분소,서울특별시 은평구 연서로34길 11,37.6215638100,126.9276865000
수자인 아파트,서울특별시 은평구 불광로 170,37.6217800100,126.9316595000
서울연신초등학교,서울특별시 은평구 연서로 347,37.6260604900,126.9277466000
서울연천초등학교,서울특별시 은평구 연서로34길 22,37.6213498000,126.9299212000
서울연광초등학교,서울특별시 은평구 연서로35길 37,37.6236468700,126.9239070000
불광중학교,서울특별시 은평구 불광로 180,37.6231987500,126.9321150000
연신중학교,서울특별시 은평구 연서로33길 16-32,37.6235422600,126.9242937000
연천중학교,서울특별시 은평구 연서로41길 30,37.6275477300,126.9258221000
세명컴퓨터고등학교,서울특별시 은평구 통일로92가길 33,37.6277675700,126.9232473000
불광제2동주민센터,서울특별시 은평구 연서로41길 16,37.6264887200,126.9272760000
진흥 엣세벨,서울특별시 은평구 은평터널로 60,37.5851659300,126.8996759000
수색은평종합사회복지,서울특별시 은평구 은평터널로 48,37.5850545500,126.8993265000
DMC자이1단지 아파트,서울특별시 은평구 수색로 217,37.5796247400,126.8987271000
DMC자이2단지 아파트,서울특별시 은평구 수색로 217-1,37.5786233200,126.8995570000
두빌 오피스텔,서울특별시 은평구 수색로 195,37.5785706800,126.9006785000
서울수색초등학교,서울특별시 은평구 수색로16길 21,37.5851677600,126.8960074000
수색동주민센터,서울특별시 은평구 수색로 280,37.5835150900,126.8936768000
라이프씨티 아파트,서울특별시 은평구 갈현로3다길 15,37.6026250200,126.9051835000
