연번,법정동,도로명주소,지번주소,위도,경도
1,강일동,서울특별시 강동구 아리수로93길 33-9,서울특별시 강동구 강일동 676,37.5657119,127.1731688
2,강일동,서울특별시 강동구 아리수로 421,서울특별시 강동구 강일동 679-2,37.5646204,127.1740491
3,강일동,서울특별시 강동구 아리수로91길 24-5,서울특별시 강동구 강일동 677-2,37.5651352,127.1731901
4,강일동,서울특별시 강동구 아리수로93가길 36-31,서울특별시 강동구 강일동 667-24,37.5691344,127.1739916
5,강일동,서울특별시 강동구 아리수로93가길 20-1,서울특별시 강동구 강일동 667-33,37.5683344,127.1726994
6,강일동,서울특별시 강동구 아리수로93길 27,서울특별시 강동구 강일동 675-2,37.5656119,127.1737911
7,강일동,서울특별시 강동구 아리수로93가길 20-22,서울특별시 강동구 강일동 667-57,37.5685581,127.1737865
8,상일동,서울특별시 강동구 상암로79가길 6,서울특별시 강동구 상일동 333,37.5468173,127.1674108
9,상일동,서울특별시 강동구 상암로81길 45,서울특별시 강동구 상일동 319-3,37.5463285,127.1689940
10,상일동,서울특별시 강동구 상암로81길 28,서울특별시 강동구 상일동 345,37.5464111,127.1679757
11,상일동,서울특별시 강동구 상암로81길 22,서울특별시 강동구 상일동 337,37.5464655,127.1677269
12,상일동,서울특별시 강동구 상암로81길 10-9,서울특별시 강동구 상일동 452,37.5460772,127.1683145
13,상일동,서울특별시 강동구 천호대로219길 30,서울특별시 강동구 상일동 307,37.5471736,127.1702746
14,상일동,서울특별시 강동구 천호대로219길 40,서울특별시 강동구 상일동 292-3,37.5476147,127.1705585
15,상일동,서울특별시 강동구 천호대로219길 72,서울특별시 강동구 상일동 280-4,37.5489474,127.1710934
16,상일동,서울특별시 강동구 천호대로219길 90,서울특별시 강동구 상일동 199,37.5498036,127.1709255
17,명일동,서울특별시 강동구 고덕로 166,서울특별시 강동구 명일동 305-10,37.5544706,127.1437185
18,명일동,서울특별시 강동구 양재대로151길 20,서울특별시 강동구 명일동 305-24,37.5540841,127.1430048
19,명일동,서울특별시 강동구 고덕로38길 34-4,서울특별시 강동구 명일동 312-222,37.5531207,127.1424258
20,명일동,서울특별시 강동구 고덕로38길 39-10,서울특별시 강동구 명일동 312-31,37.5525702,127.1431830
21,명일동,서울특별시 강동구 고덕로38길 40-5,서울특별시 강동구 명일동 312-129,37.5526163,127.1423003
22,명일동,서울특별시 강동구 양재대로147길 46,서울특별시 강동구 명일동 312-168,37.5525272,127.1414740
23,명일동,서울특별시 강동구 고덕로38길 71,서울특별시 강동구 명일동 312-151,37.5512914,127.1426487
24,명일동,서울특별시 강동구 구천면로 431-6,서울특별시 강동구 명일동 289-13,37.5504576,127.1467097
25,명일동,서울특별시 강동구 상암로47길 65,서울특별시 강동구 명일동 334-6,37.5494155,127.1441841
26,명일동,서울특별시 강동구 상암로47길 13,서울특별시 강동구 명일동 345-14,37.5470733,127.1438628
27,명일동,서울특별시 강동구 양재대로134길 25,서울특별시 강동구 명일동 337-30,37.5477568,127.1449392
28,명일동,서울특별시 강동구 양재대로134길 34,서울특별시 강동구 명일동 342-11,37.5475850,127.1454594
29,명일동,서울특별시 강동구 양재대로134길 55,서울특별시 강동구 명일동 339-27,37.5478448,127.1466707
30,명일동,서울특별시 강동구 양재대로136길 58,서울특별시 강동구 명일동 339-11,37.5482229,127.1468864
31,명일동,서울특별시 강동구 양재대로136길 44,서울특별시 강동구 명일동 338-13,37.5483050,127.1461058
32,명일동,서울특별시 강동구 양재대로136길 36,서울특별시 강동구 명일동 338-1,37.5483415,127.1456871
33,명일동,서울특별시 강동구 양재대로136길 24,서울특별시 강동구 명일동 337-1,37.5483693,127.1450309
34,명일동,서울특별시 강동구 상암로49길 34,서울특별시 강동구 명일동 337-26,37.5480270,127.1449849
35,명일동,서울특별시 강동구 상암로49길 12,서울특별시 강동구 명일동 343-1,37.5469639,127.1449716
36,명일동,서울특별시 강동구 상암로49길 12-7,서울특별시 강동구 명일동 342-20,37.5471527,127.1453001
37,명일동,서울특별시 강동구 양재대로130길 47,서울특별시 강동구 명일동 268,37.5460347,127.1458864
38,명일동,서울특별시 강동구 양재대로130길 36,서울특별시 강동구 명일동 348-1,37.5457653,127.1451956
39,명일동,서울특별시 강동구 천중로49길 101,서울특별시 강동구 명일동 355-5,37.5454511,127.1442445
40,명일동,서울특별시 강동구 천중로51길 108-5,서울특별시 강동구 명일동 348-4,37.5455668,127.1453763
41,명일동,서울특별시 강동구 천중로51길 108,서울특별시 강동구 명일동 348-3,37.5455672,127.1450934
42,명일동,서울특별시 강동구 상암로 210-29,서울특별시 강동구 명일동 268-19,37.5451246,127.1460204
43,명일동,서울특별시 강동구 천중로51길 96,서울특별시 강동구 명일동 349-4,37.5450534,127.1452734
44,명일동,서울특별시 강동구 동남로65길 46-7,서울특별시 강동구 명일동 239-2,37.5480886,127.1533364
45,명일동,서울특별시 강동구 동남로65길 54,서울특별시 강동구 명일동 245-6,37.5478369,127.1529059
46,명일동,서울특별시 강동구 동남로65길 46-8,서울특별시 강동구 명일동 236,37.5481513,127.1536534
47,명일동,서울특별시 강동구 동남로67길 4,서울특별시 강동구 명일동 83,37.5488604,127.1557030
48,명일동,서울특별시 강동구 상암로63길 6-27,서울특별시 강동구 명일동 164,37.5467613,127.1555290
49,명일동,서울특별시 강동구 상암로67길 35,서울특별시 강동구 명일동 149,37.5478965,127.1556105
50,명일동,서울특별시 강동구 동남로65길 6,서울특별시 강동구 명일동 148,37.5477523,127.1555989
51,명일동,서울특별시 강동구 암사길 109,서울특별시 강동구 명일동 322-13,37.5510861,127.1410526
52,고덕동,서울특별시 강동구 아리수로 212-1,서울특별시 강동구 고덕동 664,37.5617497,127.1517569
53,고덕동,서울특별시 강동구 아리수로62길 27,서울특별시 강동구 고덕동 633,37.5607487,127.1524680
54,고덕동,서울특별시 강동구 동남로83길 56-24,서울특별시 강동구 고덕동 638,37.5602350,127.1525914
55,고덕동,서울특별시 강동구 동남로81길 88,서울특별시 강동구 고덕동 645-3,37.5589380,127.1522606
56,고덕동,서울특별시 강동구 고덕로61길 118-9,서울특별시 강동구 고덕동 652-2,37.5601367,127.1519008
57,고덕동,서울특별시 강동구 아리수로 220-1,서울특별시 강동구 고덕동 610,37.5619016,127.1527193
58,고덕동,서울특별시 강동구 동남로81길 8,서울특별시 강동구 고덕동 501-5,37.5606716,127.1563273
59,고덕동,서울특별시 강동구 아리수로 228,서울특별시 강동구 고덕동 542,37.5620446,127.1536816
60,고덕동,서울특별시 강동구 동남로85길 48-8,서울특별시 강동구 고덕동 535-5,37.5610799,127.1541437
61,고덕동,서울특별시 강동구 동남로87길 50,서울특별시 강동구 고덕동 541-2,37.5619090,127.1540096
62,고덕동,서울특별시 강동구 동남로87길 42,서울특별시 강동구 고덕동 541-4,37.5619626,127.1543153
63,고덕동,서울특별시 강동구 동남로85길 41,서울특별시 강동구 고덕동 507-4,37.5607729,127.1546863
64,고덕동,서울특별시 강동구 동남로87길 12,서울특별시 강동구 고덕동 550,37.5624200,127.1559800
65,고덕동,서울특별시 강동구 아리수로68길 10,서울특별시 강동구 고덕동 518,37.5623473,127.1564213
66,고덕동,서울특별시 강동구 아리수로68길 44,서울특별시 강동구 고덕동 502-7,37.5608607,127.1564069
67,고덕동,서울특별시 강동구 아리수로 242,서울특별시 강동구 고덕동 567,37.5622410,127.1550176
68,고덕동,서울특별시 강동구 아리수로 248,서울특별시 강동구 고덕동 559,37.5624653,127.1557424
69,고덕동,서울특별시 강동구 동남로85길 88-21,서울특별시 강동구 고덕동 656,37.5613445,127.1515298
70,고덕동,서울특별시 강동구 아리수로 296-1,서울특별시 강동구 고덕동 281-1,37.5626745,127.1610964
71,고덕동,서울특별시 강동구 아리수로 304-1,서울특별시 강동구 고덕동 281-8,37.5626102,127.1620018
72,고덕동,서울특별시 강동구 아리수로 314,서울특별시 강동구 고덕동 233-3,37.5625367,127.1630089
73,고덕동,서울특별시 강동구 아리수로 322,서울특별시 강동구 고덕동 233-10,37.5624724,127.1639029
74,고덕동,서울특별시 강동구 아리수로 350,서울특별시 강동구 고덕동 142-7,37.5622338,127.1670715
75,고덕동,서울특별시 강동구 아리수로 368,서울특별시 강동구 고덕동 165-1,37.5620597,127.1690971
76,고덕동,서울특별시 강동구 상일로 147,서울특별시 강동구 고덕동 182-3,37.5601656,127.1705303
77,고덕동,서울특별시 강동구 상일로21길 25,서울특별시 강동구 고덕동 186-3,37.5595366,127.1693518
78,고덕동,서울특별시 강동구 상일로21길 14-4,서울특별시 강동구 고덕동 179-6,37.5598331,127.1699410
79,고덕동,서울특별시 강동구 상일로17길 25,서울특별시 강동구 고덕동 196-2,37.5587615,127.1694972
80,고덕동,서울특별시 강동구 상일로15길 6-10,서울특별시 강동구 고덕동 200-2,37.5586247,127.1706513
81,고덕동,서울특별시 강동구 고덕로83길 58,서울특별시 강동구 고덕동 187,37.5596004,127.1688200
82,고덕동,서울특별시 강동구 상일로21길 14-24,서울특별시 강동구 고덕동 176-4,37.5607524,127.1697280
83,고덕동,서울특별시 강동구 고덕로83길 132,서울특별시 강동구 고덕동 159-5,37.5613681,127.1675450
84,고덕동,서울특별시 강동구 아리수로82길 14-9,서울특별시 강동구 고덕동 156-4,37.5615673,127.1668890
85,고덕동,서울특별시 강동구 아리수로82길 18,서울특별시 강동구 고덕동 156-7,37.5615307,127.1672963
