연번,설치장소명,도로명주소,상세위치
1,강동구보건소 3층 보건의료과,서울특별시 강동구 성내로 45,
2,둔촌1동 주민센터,서울특별시 강동구 양재대로84길 31,
3,국민건강보험공단 강동지사,서울특별시 강동구 천호대로 1102,강동웨딩 KDW 5층
4,강동보건소,서울특별시 강동구 성내로 45,
5,천호3동 주민센터,서울특별시 강동구 진황도로23길 7,2층
6,천호2동 주민센터,서울특별시 강동구 올림픽로80길 60,
7,천호1동 주민센터,서울특별시 강동구 구천면로42길 59,
8,암사3동 주민센터,서울특별시 강동구 고덕로 137,
9,암사2동 주민센터,서울특별시 강동구 상암로3길 28,
10,암사1동 주민센터,서울특별시 강동구 올림픽로98가길 57,
11,성내3동 주민센터,서울특별시 강동구 강동대로53길 76,
12,성내2동주민센터,서울특별시 강동구 천호대로 1050,2층
13,성내1동 주민센터,서울특별시 강동구 성내로 13,
14,상일2동 주민센터,서울특별시 강동구 고덕로98길 71,
15,상일1동 주민센터,서울특별시 강동구 구천면로 633,
16,명일2동 주민센터,서울특별시 강동구 상암로 260,
17,명일1동 주민센터,서울특별시 강동구 양재대로 1634,2층 명일1동 주민센터
18,둔촌2동 주민센터,서울특별시 강동구 천호대로186길 7,
19,길동 주민센터,서울특별시 강동구 천호대로 1183,
20,고덕2동 주민센터,서울특별시 강동구 아리수로78길 43-12,
21,고덕1동 주민센터,서울특별시 강동구 양재대로156길 123,
22,강일동주민센터,서울특별시 강동구 아리수로93길 9-14,
23,"중앙보훈병원(중앙관 1층, 2층 약제부 투약창구 옆)",서울특별시 강동구 진황도로61길 53,
24,중앙보훈병원(치과병원 로비층 접수창구 옆),서울특별시 강동구 진황도로61길 53,
25,중앙보훈병원(제3관(요양병원) 안내데스크 옆),서울특별시 강동구 진황도로61길 53,
