동명,설치위치,수거품목,관리기관명,관리기관전화번호,데이터기준일
신사동,서울특별시 강남구 압구정로 128,"폐형광등, 폐건전지",신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 강남대로158길 21,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 강남대로152길 29,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 강남대로156길 28-1,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 도산대로17길 27,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 압구정로10길 32,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 도산대로19길 39,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
신사동,서울특별시 강남구 도산대로19길 16,폐건전지,신사동주민센터,02-3423-7312,2022-08-24
압구정동,서울특별시 강남구 압구정로36길22(신구중건너편),폐건전지,압구정동주민센터,02-3423-7607,2022-08-24
압구정동,서울특별시 강남구 압구정로36길55(소망교회앞),폐건전지,압구정동주민센터,02-3423-7607,2022-08-24
압구정동,서울특별시 강남구 압구정로50길28(로데오현대앞),폐건전지,압구정동주민센터,02-3423-7607,2022-08-24
압구정동,서울특별시 강남구 논현로154길12(아인빌앞),폐건전지,압구정동주민센터,02-3423-7607,2022-08-24
압구정동,서울특별시 강남구 도산대로49길11앞,폐건전지,압구정동주민센터,02-3423-7607,2022-08-24
청담동,"서울특별시 강남구 도산대로87길 33, 대우유로카운티 빌라","폐형광등, 폐건전지",청담동주민센터,02-3423-7717,2022-08-24
청담동,서울특별시 강남구 도산대로101길 29 현대3차(아) ,"폐형광등, 폐건전지",청담동주민센터,02-3423-7717,2022-08-24
청담동,서울특별시 강남구 삼성로135길 42 언북초등학교 교무실,폐건전지,청담동주민센터,02-3423-7717,2022-08-24
청담동,서울특별시 강남구 압구정로71길 9 청담초등학교 교무실,폐건전지,청담동주민센터,02-3423-7717,2022-08-24
청담동,서울특별시 강남구 선릉로 742 영동고등학교 교무실,폐건전지,청담동주민센터,02-3423-7717,2022-08-24
논현1동,서울특별시 강남구 학동로21길 54,"폐형광등, 폐건전지",논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 학동로20길 25, 3층 논현1동주민센터 민원실","폐형광등, 폐건전지",논현1동주민센터,02-3423-7409,2022-08-24
논현1동,서울특별시 강남구 봉은사로11길 11,"폐형광등, 폐건전지",논현1동주민센터,02-3423-7409,2022-08-24
논현1동,서울특별시 강남구 학동로26길 25 ,"폐형광등, 폐건전지",논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 학동로20길 25, 4층 논현1문화센터",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 학동로25길 27, 메리힐 주차장 음식물 쓰레기통 옆",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로115길, 18-6 주차장",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 강남대로118길 52, 주차장 입구",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로115길 28, 삼풍빌라 경비실 앞",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 강남대로122길 52, 건물 현관 안쪽",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 학동로12길 43, 모아세탁소 앞",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 강남대로112길 41, 경비실 앞(거평프리젠)",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로113길 4, 쓰레기 수거통 옆(논현프라임)",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로111길 3, 꿈에그린1차",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로119길 16, 우성빌리지",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로115길 20, 현대타운빌라",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현1동,"서울특별시 강남구 논현로113길 7, 리더스 빌라",폐건전지,논현1동주민센터,02-3423-7409,2022-08-24
논현2동,"서울특별시 강남구 학동로43길 17, 논현2동주민센터","폐형광등, 폐건전지",논현2동주민센터,02-3423-7505,2022-08-24
논현2동,"서울특별시 강남구 선릉로121길 15, LH공사 앞","폐형광등, 폐건전지",논현2동주민센터,02-3423-7505,2022-08-24
논현2동,"서울특별시 강남구 논현로136길 5-8, 강남논현 데이케어센터 한마음경로당 앞","폐형광등, 폐건전지",논현2동주민센터,02-3423-7505,2022-08-24
논현2동,"서울특별시 강남구 학동로43길 17, 논현2동주민센터 앞",폐건전지,논현2동주민센터,02-3423-7505,2022-08-24
삼성1동,"서울특별시 강남구 삼성로112길27, 현대주택 초소 옆","폐형광등, 폐건전지",삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로118길29,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 봉은사로105길24,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 봉은사로109길46,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 삼성로120길52,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로114길41,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로114길63,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로114길71-3,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로118길12,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로118길67,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성1동,서울특별시 강남구 영동대로129길40,폐건전지,삼성1동주민센터,02-3423-7815,2022-08-24
삼성2동,서울특별시 강남구 봉은사로63길 53,"폐형광등, 폐건전지",삼성2동주민센터,02-3423-8208,2022-08-24
대치1동,서울특별시 강남구 삼성로51길 10-8(대치동1019-8),폐건전지,대치1동주민센터,02-3423-8305,2022-08-24
대치1동,서울특별시 강남구 삼성로51길 10-14(대치동1019-18),폐건전지,대치1동주민센터,02-3423-8305,2022-08-24
대치1동,서울특별시 강남구 삼성로57길 42(대치동1023-13),폐건전지,대치1동주민센터,02-3423-8305,2022-08-24
대치1동,서울특별시 강남구 삼성로57길 46(대치동1023-14),폐건전지,대치1동주민센터,02-3423-8305,2022-08-24
대치1동,서울특별시 강남구 삼성로57길 50(대치동1023-16),폐건전지,대치1동주민센터,02-3423-8305,2022-08-24
대치2동,서울특별시 강남구 영동대로65길 24,"폐형광등, 폐건전지",대치2동주민센터,02-3423-8404,2022-08-24
대치2동,서울특별시 강남구 역삼로87길 21(맞은편),"폐형광등, 폐건전지",대치2동주민센터,02-3423-8404,2022-08-24
대치2동,서울특별시 강남구 삼성로70길 15,"폐형광등, 폐건전지",대치2동주민센터,02-3423-8404,2022-08-24
