연번,행정동,주소,상세위치
1,염창동,서울특별시 강서구 양천로67가길 63,염창동주민센터
2,염창동,서울특별시 강서구 공항대로75길 42,대림아파트 뒤편 벽면
3,염창동,서울특별시 강서구 양천로77길 21,
4,염창동,서울특별시 강서구 공항대로 615,
5,염창동,,염창감리교회
6,등촌1동,서울특별시 강서구 공항대로53가길 55,등촌1동주민센터
7,등촌1동,서울특별시 강서구 공항대로53가길 10,건너편 벽
8,등촌2동,서울특별시 강서구 등촌로 143,등촌2동 주민센터 뒤편
9,등촌2동,서울특별시 강서구 등촌로39마길 3,능안경로당 입구
10,등촌3동,서울특별시 강서구 화곡로63길 96,등촌3동 주민센터
11,화곡본동,,노을공원
12,화곡본동,서울특별시 강서구 까치산로 59,국민은행 주차장 담
13,화곡본동,서울특별시 강서구 초록마을로5길 29,화곡본동주민센터
14,화곡1동,서울특별시 강서구 곰달래로 79,화곡1동주민센터 뒤편 주차장
15,화곡1동,서울특별시 강서구 강서로31길 48,신월초등학교 담
16,화곡1동,,호돌이공원 입구
17,화곡1동,서울특별시 강서구 강서로15길 47,옆 공원 앞
18,화곡1동,서울특별시 강서구 월정로30길 96,화곡보건분소
19,화곡2동,,화곡2동 주민센터 주차장
20,화곡3동,서울특별시 강서구 강서로33가길 17,화곡3동주민센터 옆
21,화곡3동,서울특별시 강서구 화곡로15길 18,수명공원 입구 옆
22,화곡3동,서울특별시 강서구 화곡동 1008-32,미리내공원 후문쪽 삼거리
23,화곡4동,서울특별시 강서구 곰달래로57가길 26,화곡4동주민센터
24,화곡4동,서울특별시 강서구 곰달래로53길 133,능골공원
25,화곡6동,서울특별시 강서구 화곡로 302,강서구청
26,화곡6동,서울특별시 강서구 화곡로 312,화곡6동 주민센터 옆
27,화곡8동,서울특별시 강서구 곰달래로25길 45,화곡8동 주민센터
28,화곡8동,서울특별시 강서구 초록마을로34길 43,삼거리 인근
29,우장산동,서울특별시 강서구 우현로 67,강서힐스테이트 담(화곡로39길 30 맞은편)
30,우장산동,서울특별시 강서구 우장산로2길 72,맞은편 내발산초등학교 담장
31,발산1동,서울특별시 강서구 강서로47길 54,발산1동 주민센터
32,발산1동,서울특별시 강서구 강서로47나길 39,낙원아파트 담
33,가양1동,서울특별시 강서구 허준로 30,가양1동 주민센터
34,가양2동,서울특별시 강서구 허준로 93,가양2동 주민센터(주차장 뒤편)
35,가양3동,서울특별시 강서구 허준로 202,가양3동주민센터 주차장 입구 맞으편 담
36,공항동,서울특별시 강서구 송정로 45,공항동 주민센터
37,공항동,서울특별시 강서구 방화대로 241,공항중학교 담
38,공항동,,공항동 다솔어린이공원
39,공항동,,장미공원
40,방화1동,서울특별시 강서구 방화대로 330,방화1동 주민센터 주차장
41,방화1동,서울특별시 강서구 초원로16길 3-6,담
42,방화2동,서울특별시 강서구 개화동로23길 26,방화2동경로당 담장
43,방화2동,서울특별시 강서구 개화동로13길 12-8,내촌경로당
44,방화2동,서울특별시 강서구 개화동로5길 9-35,신대부석어린이공원
45,방화3동,,방화3동 주민센터 옆
