연번,행정동,도로명주소,위도,경도
1,가산동,서울특별시 금천구 시흥대로123길 87,37.47283882,126.8943888
2,가산동,서울특별시 금천구 가산로7길 55,37.47422241,126.890423
3,가산동,서울특별시 금천구 가산로3길 133,37.47189333,126.8881567
4,가산동,서울특별시 금천구 벚꽃로 344,37.48497235,126.881559
5,가산동,서울특별시 금천구 가산로 96,37.47453766,126.8943653
6,가산동,서울특별시 금천구 시흥대로149길 37,37.47528652,126.8958243
7,가산동,서울특별시 금천구 시흥대로149가길 10,37.47572518,126.8954698
8,가산동,서울특별시 금천구 시흥대로149가길 6,37.47561479,126.8955596
9,가산동,서울특별시 금천구 남부순환로 1298,37.47827188,126.8948611
10,가산동,서울특별시 금천구 벚꽃로38길 43,37.48301816,126.884759
11,가산동,서울특별시 금천구 가산로5길 37,37.47350426,126.8924375
12,가산동,서울특별시 금천구 두산로9길 64,37.47325573,126.8926026
13,가산동,서울특별시 금천구 가산로 145-1,37.47819898,126.8906859
14,가산동,서울특별시 금천구 가산로 132,37.47726489,126.8920424
15,가산동,서울특별시 금천구 벚꽃로24길 26,37.47409251,126.8888139
16,가산동,서울특별시 금천구 가산로3길 139,37.4717688,126.8877635
17,가산동,서울특별시 금천구 디지털로10길 56,37.47524561,126.8890916
18,가산동,서울특별시 금천구 가산로9길 97-12,37.47423024,126.8874454
19,가산동,서울특별시 금천구 가산로5길 33,37.47344592,126.8927891
20,독산1동,서울특별시 금천구 두산로9길 31,37.47183008,126.8925249
21,독산1동,서울특별시 금천구 두산로 71,37.47062285,126.8956736
22,독산1동,서울특별시 금천구 가산로 61,37.4718013,126.896009
23,독산1동,서울특별시 금천구 두산로 54,37.4700556,126.8938832
24,독산1동,서울특별시 금천구 두산로 32,37.47018498,126.8914987
25,독산1동,서울특별시 금천구 두산로7길 32,37.47200052,126.8920964
26,독산1동,서울특별시 금천구 두산로5길 32,37.47198389,126.8908572
27,독산1동,서울특별시 금천구 시흥대로151길 45,37.47673006,126.8960718
28,독산1동,서울특별시 금천구 시흥대로 485,37.47689864,126.8982456
29,독산1동,서울특별시 금천구 벚꽃로18길 52,37.4681641,126.8919874
30,독산1동,서울특별시 금천구 벚꽃로18길 33,37.46824565,126.8908193
31,독산1동,서울특별시 금천구 범안로11길 14,37.46731693,126.8918371
32,독산1동,서울특별시 금천구 시흥대로 351,37.46492507,126.8971501
33,독산1동,서울특별시 금천구 범안로17길 71,37.46978935,126.8933761
34,독산1동,서울특별시 금천구 시흥대로153길 10,37.47728782,126.8979655
35,독산1동,서울특별시 금천구 시흥대로141길 49,37.47511223,126.897536
36,독산1동,서울특별시 금천구 시흥대로123길 90,37.47310551,126.8945779
37,독산1동,서울특별시 금천구 두산로13길 34,37.47167428,126.8951152
38,독산1동,서울특별시 금천구 시흥대로123길 11,37.47021905,126.8970437
39,독산1동,서울특별시 금천구 범안로17길 64,37.4693457,126.8938849
40,독산1동,서울특별시 금천구 범안로15길 27-11,37.46763856,126.8922056
41,독산1동,서울특별시 금천구 범안로14길 5,37.46624883,126.893587
42,독산1동,서울특별시 금천구 범안로12길 24,37.46537189,126.8917133
43,독산1동,서울특별시 금천구 범안로12길 8,37.46606758,126.8917388
44,독산1동,서울특별시 금천구 범안로12길 50,37.4645414,126.8927685
45,독산1동,서울특별시 금천구 범안로12길 56,37.46439399,126.8930586
46,독산1동,서울특별시 금천구 범안로16길 11,37.46592829,126.8954389
47,독산1동,서울특별시 금천구 범안로12가길 59,37.4651463,126.8944269
48,독산1동,서울특별시 금천구 범안로16길 29,37.46539546,126.8954808
49,독산1동,서울특별시 금천구 시흥대로101길 40,37.46471294,126.8954663
50,독산1동,서울특별시 금천구 시흥대로101길 8,37.46399185,126.8968897
51,독산1동,서울특별시 금천구 시흥대로101길 25,37.46415843,126.8958504
52,독산1동,서울특별시 금천구 시흥대로123길 44,37.47139498,126.8960479
53,독산1동,서울특별시 금천구 범안로12길 30,37.46512081,126.8916544
54,독산1동,서울특별시 금천구 범안로12가길 7,37.46612703,126.8923083
55,독산2동,서울특별시 금천구 시흥대로106길 16,37.46582169,126.899487
56,독산2동,서울특별시 금천구 시흥대로104길 29-17,37.4654828,126.8994568
57,독산2동,서울특별시 금천구 시흥대로104다길 20,37.46540393,126.9007001
58,독산2동,서울특별시 금천구 시흥대로104다길 8,37.46490844,126.9006656
59,독산2동,서울특별시 금천구 시흥대로98길 40,37.46400824,126.9002378
60,독산2동,서울특별시 금천구 시흥대로94길 12,37.4620145,126.8986779
61,독산2동,서울특별시 금천구 시흥대로90길 63,37.46300845,126.9007439
62,독산2동,서울특별시 금천구 시흥대로78길 58,37.46068861,126.899457
63,독산2동,서울특별시 금천구 시흥대로78길 50,37.46036587,126.89967
64,독산2동,서울특별시 금천구 시흥대로84길 16,37.46002649,126.9006691
65,독산2동,서울특별시 금천구 시흥대로84길 30,37.46053823,126.901168
66,독산2동,서울특별시 금천구 시흥대로84가길 6,37.46101468,126.9013737
67,독산2동,서울특별시 금천구 독산로 181,37.46339143,126.9034212
68,독산2동,서울특별시 금천구 독산로 195,37.4643333,126.9027022
69,독산2동,서울특별시 금천구 독산로 205,37.46513261,126.9021863
70,독산2동,서울특별시 금천구 독산로 213,37.46576425,126.9017873
71,독산2동,서울특별시 금천구 범안로 1254,37.46633114,126.9012122
72,독산2동,서울특별시 금천구 독산로68길 24,37.46620157,126.9031685
73,독산2동,서울특별시 금천구 독산로68길 34,37.46652026,126.9036068
74,독산2동,서울특별시 금천구 독산로64가길 9,37.46549865,126.9032239
75,독산2동,서울특별시 금천구 독산로64가길 4-10,37.46575637,126.9037026
76,독산2동,서울특별시 금천구 독산로68길 48,37.46670544,126.9043016
77,독산2동,서울특별시 금천구 독산로64길 81,37.46685497,126.9066161
78,독산2동,서울특별시 금천구 독산로64길 95,37.46676974,126.907312
79,독산2동,서울특별시 금천구 독산로64길 107,37.4666746,126.9080176
80,독산2동,서울특별시 금천구 독산로58나길 66,37.46592459,126.9067413
81,독산2동,서울특별시 금천구 독산로58길 25,37.46466297,126.9043428
82,독산2동,서울특별시 금천구 독산로58가길 6,37.46413011,126.9042278
83,독산2동,서울특별시 금천구 독산로58가길 14,37.46401023,126.9046162
84,독산2동,서울특별시 금천구 독산로58나길 5,37.46460786,126.9048322
85,독산2동,서울특별시 금천구 독산로58나길 12,37.46431447,126.9050271
86,독산2동,서울특별시 금천구 독산로58나길 26,37.46417703,126.9058813
87,독산2동,서울특별시 금천구 독산로58나길 35,37.46461589,126.9060788
88,독산2동,서울특별시 금천구 독산로58나길 48,37.46504038,126.9065612
89,독산2동,서울특별시 금천구 독산로58나길 56,37.4655208,126.9066755
90,독산2동,서울특별시 금천구 독산로58가길 68,37.4649635,126.9069891
91,독산2동,서울특별시 금천구 독산로58가길 78,37.46543734,126.9071096
92,독산2동,서울특별시 금천구 독산로58가길 47,37.46426568,126.9064331
93,독산2동,서울특별시 금천구 독산로58가길 46,37.46391654,126.9064427
94,독산2동,서울특별시 금천구 시흥대로 336,37.46360758,126.8978438
95,독산3동,서울특별시 금천구 문성로 12,37.47615061,126.9049385
96,독산3동,서울특별시 금천구 문성로 16,37.4762893,126.9054148
97,독산3동,서울특별시 금천구 문성로 22,37.47638148,126.9061068
98,독산3동,서울특별시 금천구 문성로 30,37.47645749,126.9068561
99,독산3동,서울특별시 금천구 문성로 40,37.47657022,126.9080269
100,독산3동,서울특별시 금천구 문성로 46,37.47664146,126.9086837
101,독산3동,서울특별시 금천구 문성로 31,37.47684198,126.9071148
102,독산3동,서울특별시 금천구 문성로 13,37.47656243,126.9051164
103,독산3동,서울특별시 금천구 문성로1길 28,37.47761308,126.9045383
104,독산3동,서울특별시 금천구 독산로106길 9,37.47812524,126.9042406
105,독산3동,서울특별시 금천구 문성로1길 47,37.47854045,126.9043848
106,독산3동,서울특별시 금천구 독산로108길 9,37.47945294,126.9045343
107,독산3동,서울특별시 금천구 문성로5길 33,37.47838738,126.9049559
108,독산3동,서울특별시 금천구 문성로5가길 13,37.47915511,126.9058309
109,독산3동,서울특별시 금천구 남부순환로126길 36,37.47866936,126.9063731
110,독산3동,서울특별시 금천구 남부순환로126길 48,37.47814773,126.9067926
111,독산3동,서울특별시 금천구 독산로106길 70,37.47823282,126.9077462
112,독산3동,서울특별시 금천구 남부순환로126길 25,37.47926857,126.9072194
113,독산3동,서울특별시 금천구 독산로108길 44,37.47949493,126.9063493
114,독산3동,서울특별시 금천구 문성로 35-6,37.47705548,126.9077668
115,독산3동,서울특별시 금천구 문성로3길 100,37.47747305,126.9099128
116,독산3동,서울특별시 금천구 독산로108길 91,37.48021492,126.9089887
117,독산3동,서울특별시 금천구 남부순환로130길 20,,
118,독산3동,서울특별시 금천구 독산로107길 13,37.47788518,126.9027669
119,독산3동,서울특별시 금천구 남부순환로 1362,37.47930142,126.9021521
120,독산3동,서울특별시 금천구 남부순환로122길 10,37.47895311,126.9020652
121,독산3동,서울특별시 금천구 독산로109길 48,37.4788624,126.9011257
122,독산3동,서울특별시 금천구 시흥대로152길 15,37.47696919,126.8998262
123,독산3동,서울특별시 금천구 시흥대로150길 11-17,37.47653459,126.8994523
124,독산3동,서울특별시 금천구 시흥대로150길 21,37.4758399,126.9000786
125,독산3동,서울특별시 금천구 시흥대로152길 25,37.47758559,126.8999594
126,독산3동,서울특별시 금천구 남부순환로120길 17-21,37.47774933,126.9018091
127,독산3동,서울특별시 금천구 시흥대로150길 81,37.47748375,126.902625
128,독산3동,서울특별시 금천구 시흥대로150길 85,37.47753213,126.902726
129,독산3동,서울특별시 금천구 독산로101길 59,37.47767357,126.9028148
130,독산3동,서울특별시 금천구 남부순환로132길 7,37.48018196,126.9083072
131,독산3동,서울특별시 금천구 독산로101길 11,37.47564948,126.9026265
132,독산3동,서울특별시 금천구 독산로101길 1,37.4751159,126.902624
133,독산3동,서울특별시 금천구 독산로99길 17,37.47493507,126.9024052
134,독산3동,서울특별시 금천구 시흥대로146길 18,37.47387704,126.8997513
135,독산3동,서울특별시 금천구 독산로102길 25,37.47585281,126.9050265
136,독산3동,서울특별시 금천구 독산로96길 19-12,37.47562465,126.9047679
137,독산3동,서울특별시 금천구 독산로102길 9,37.47586887,126.9041586
138,독산3동,서울특별시 금천구 독산로94길 29,37.47523599,126.9041444
139,독산3동,서울특별시 금천구 독산로92길 42,37.47372047,126.9058045
140,독산3동,서울특별시 금천구 독산로92길 26,37.47373689,126.9048189
141,독산3동,서울특별시 금천구 독산로54길 257,37.47337917,126.9059213
