연번,행정동,주소,데이터기준일자
1,구로2동,구일로 90-11,2025-06-10
2,구로2동,벚꽃로 378,2025-06-10
3,구로2동,가마산로20길 21,2025-06-10
4,구로2동,구로동로28길 33-30,2025-06-10
5,구로2동,구로동로28길 33-30,2025-06-10
6,구로2동,가마산로20라길 29,2025-06-10
7,구로2동,가마산로22길 54,2025-06-10
8,구로2동,가마산로22길 48,2025-06-10
9,구로2동,가마산로20나길 26-1,2025-06-10
10,구로2동,가마산로22길 19,2025-06-10
11,구로2동,구로중앙로 37,2025-06-10
12,구로2동,구로중앙로19길 5,2025-06-10
13,구로2동,가마산로20가길 8-2,2025-06-10
14,구로2동,구로동로42길 15,2025-06-10
15,구로2동,구로중앙로27길 66,2025-06-10
16,구로2동,구로동로43길 10,2025-06-10
17,구로2동,구로동로43길 44-6,2025-06-10
18,구로2동,벚꽃로 13,2025-06-10
19,구로2동,벚꽃로 78길 2,2025-06-10
20,구로2동,벚꽃로 484,2025-06-10
21,구로2동,벚꽃로 78길 19-12,2025-06-10
22,구로2동,구로동 474-21,2025-06-10
23,구로2동,구로동로49길 18,2025-06-10
24,구로2동,구로동로 221,2025-06-10
25,구로2동,구로동로 207,2025-06-10
26,구로2동,구로동로 175,2025-06-10
27,구로2동,구로동로 415-5,2025-06-10
28,구로2동,구로동로35길 22,2025-06-10
29,구로2동,가마산로 117,2025-06-10
30,구로2동,벚꽃로 398,2025-06-10
31,구로2동,가마산로 159-14,2025-06-10
32,구로2동,벚꽃로 412-1,2025-06-10
33,구로2동,벚꽃로74길 2,2025-06-10
34,구로2동,벚꽃로74길 1,2025-06-10
35,구로2동,구로동로43길 41,2025-06-10
36,구로2동,구로동로43길 13,2025-06-10
37,구로2동,구로동로29길 3,2025-06-10
38,구로2동,구로동로 119-1,2025-06-10
39,구로2동,구로동로 87,2025-06-10
40,구로3동,시흥대로161길 24,2025-06-10
41,구로3동,시흥대로161길 32,2025-06-10
42,구로3동,시흥대로161길 36-6,2025-06-10
43,구로3동,디지털로32가길 98,2025-06-10
44,구로3동,디지털로32가길 98,2025-06-10
45,구로3동,디지털로32가길 82,2025-06-10
46,구로3동,시흥대로 163길 21,2025-06-10
47,구로3동,시흥대로 161가길 4,2025-06-10
48,구로3동,시흥대로 161가길 23-5,2025-06-10
49,구로3동,시흥대로 161가길 26,2025-06-10
50,구로3동,디지털로32다길 46-9,2025-06-10
51,구로4동,구로동로 22길 82,2025-06-10
52,구로4동,구로동로 22길 74,2025-06-10
53,구로4동,구로동로 8길 91,2025-06-10
54,구로5동,가마산로 268,2025-06-10
55,구로5동,가마산로26길 10,2025-06-10
56,구로5동,가마산로26길 10,2025-06-10
57,구로5동,가마산로 282,2025-06-10
58,구로5동,구로중앙로22길 39-2,2025-06-10
59,구로5동,구로중앙로22길 53,2025-06-10
60,구로5동,가마산로27길 60,2025-06-10
61,구로5동,공원로 15-12,2025-06-10
62,구로5동,공원로 21,2025-06-10
63,구로5동,가마산로 25길 9-13,2025-06-10
64,구로5동,가마산로 25길 12,2025-06-10
65,구로5동,가마산로 27길 11-15,2025-06-10
66,구로5동,가마산로 27길 7,2025-06-10
67,구로5동,구로중앙로18길 71,2025-06-10
68,구로5동,구로중앙로18길 64,2025-06-10
69,구로5동,구로동 98-14,2025-06-10
70,구로5동,구로중앙로 86,2025-06-10
71,구로5동,구로중앙로26길 16-1,2025-06-10
72,구로5동,구로중앙로 108,2025-06-10
73,구로5동,구로중앙로 107,2025-06-10
74,구로5동,구로중앙로28길 40,2025-06-10
75,구로5동,구로중앙로28길 73,2025-06-10
76,구로5동,구로중앙로28다길 12,2025-06-10
77,구로5동,구로중앙로28다길 12,2025-06-10
78,구로5동,구로동 546-4,2025-06-10
79,구로5동,구로동 546-4,2025-06-10
80,구로5동,공원로11길 15,2025-06-10
81,구로5동,공원로11가길 10,2025-06-10
82,구로5동,공원로7길 40,2025-06-10
83,구로5동,구로중앙로28길 31-31,2025-06-10
84,구로5동,구로중앙로28길 31-23,2025-06-10
85,구로5동,구로중앙로28길 31-7,2025-06-10
86,구로5동,구로중앙로28가길 37,2025-06-10
87,구로5동,구로중앙로32가길 30,2025-06-10
88,구로5동,구로중앙로32가길 53,2025-06-10
89,구로5동,구로중앙로32가길 64,2025-06-10
90,구로5동,구로중앙로32가길 88,2025-06-10
91,구로5동,새말로12길 21,2025-06-10
92,구로5동,구로중앙로34길 44-,2025-06-10
93,구로5동,구로중앙로32가길 40,2025-06-10
94,구로5동,새말로 18-45,2025-06-10
95,구로5동,새말로 38,2025-06-10
96,구로5동,새말로 41,2025-06-10
97,구로5동,새말로 9길 49,2025-06-10
98,구로5동,새말로 18길 20-15,2025-06-10
99,구로5동,공원로6나길 43-15,2025-06-10
100,구로5동,새말로 18길 20-29,2025-06-10
101,구로5동,공원로6나길 29-22,2025-06-10
102,구로5동,공원로6다길 8,2025-06-10
103,구로5동,공원로8길 31,2025-06-10
104,구로5동,공원로8길 30-13,2025-06-10
105,구로5동,새말로18길 42,2025-06-10
106,가리봉동,가리봉동 132-59,2025-06-10
107,가리봉동,디지털로27길 33,2025-06-10
108,고척2동,고척로31길 78,2025-06-10
109,고척2동,고척로27마길 26-1,2025-06-10
110,고척2동,고척로33길 97,2025-06-10
111,고척2동,고척로27바길 47,2025-06-10
112,고척2동,척로27바길 64,2025-06-10
113,고척2동,고척로33라길 13,2025-06-10
114,고척2동,고척로33라길 5,2025-06-10
115,고척2동,고척로27다길 55-12,2025-06-10
116,고척2동,척로33다길 18,2025-06-10
117,고척2동,고척로27다길 48,2025-06-10
118,고척2동,고척동 241-239,2025-06-10
119,고척2동,고척로51가길 2,2025-06-10
120,고척2동,고척로51길 64-4,2025-06-10
121,고척2동,고척동 226-37,2025-06-10
122,고척2동,고척로47길 55-12,2025-06-10
123,고척2동,고척로51길 40,2025-06-10
124,고척2동,고척로51길 33,2025-06-10
125,고척2동,고척로51길 16,2025-06-10
126,고척2동,고척로47길 16,2025-06-10
127,고척2동,고척로47길 27,2025-06-10
