설치장소명,소재지도로명주소,관리기관명,관리기관전화번호,데이터기준일자
보라매동주민센터,서울특별시 관악구 봉천로 279-8,서울특별시 관악구청,02-879-6204,2024-08-12
은천동주민센터,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구청,02-879-6204,2024-08-12
성현동주민센터,서울특별시 관악구 구암길 38,서울특별시 관악구청,02-879-6204,2024-08-12
중앙동주민센터,서울특별시 관악구 양녕로6다길 7,서울특별시 관악구청,02-879-6204,2024-08-12
청림동주민센터,서울특별시 관악구 관악로 40길 39,서울특별시 관악구청,02-879-6204,2024-08-12
행운동주민센터,서울특별시 관악구 행운1길 43 ,서울특별시 관악구청,02-879-6204,2024-08-12
청룡동주민센터,서울특별시 관악구 쑥고개로 44,서울특별시 관악구청,02-879-6204,2024-08-12
낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5,서울특별시 관악구청,02-879-6204,2024-08-12
인헌동주민센터,서울특별시 관악구 남부순환로246가길 20,서울특별시 관악구청,02-879-6204,2024-08-12
남현동주민센터,서울특별시 관악구 남현1가길 29,서울특별시 관악구청,02-879-6204,2024-08-12
신림동주민센터,서울특별시 관악구 신림동길 14,서울특별시 관악구청,02-879-6204,2024-08-12
신사동주민센터,서울특별시 관악구 조원로 142,서울특별시 관악구청,02-879-6204,2024-08-12
조원동주민센터,서울특별시 관악구 조원로12길 25,서울특별시 관악구청,02-879-6204,2024-08-12
미성동주민센터,서울특별시 관악구 난곡로 249,서울특별시 관악구청,02-879-6204,2024-08-12
난곡동주민센터,서울특별시 관악구 난곡로30길 40,서울특별시 관악구청,02-879-6204,2024-08-12
난향동주민센터,서울특별시 관악구 난곡로 67,서울특별시 관악구청,02-879-6204,2024-08-12
서원동주민센터,서울특별시 관악구 신림로 282,서울특별시 관악구청,02-879-6204,2024-08-12
신원동주민센터,서울특별시 관악구 신원로3길 13,서울특별시 관악구청,02-879-6204,2024-08-12
서림동주민센터,서울특별시 관악구 신림로29길 6,서울특별시 관악구청,02-879-6204,2024-08-12
삼성동주민센터,서울특별시 관악구 호암로 589,서울특별시 관악구청,02-879-6204,2024-08-12
대학동주민센터,서울특별시 관악구 신림로 111,서울특별시 관악구청,02-879-6204,2024-08-12
