구분,시설명,관할동,소재지,전화번호
폐형광등 수거함,폐형광등 폐건전지 수거함-28,구의1동,서울특별시 광진구 광나루로36길 47,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-64,광장동,서울특별시 광진구 아차산로53길 82,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-65,광장동,서울특별시 광진구 아차산로78가길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-66,광장동,서울특별시 광진구 아차산로78길 75,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-67,광장동,서울특별시 광진구 아차산로 549,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-68,광장동,서울특별시 광진구 아차산로 637,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-69,광장동,서울특별시 광진구 아차산로 552,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-70,광장동,서울특별시 광진구 아차산로 552,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-71,광장동,서울특별시 광진구 아차산로 599,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-72,광장동,서울특별시 광진구 아차산로 546,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-1,중곡1동,서울특별시 광진구 긴고랑로12길 49,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-73,광장동,서울특별시 광진구 워커힐로 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-74,광장동,서울특별시 광진구 아차산로70길 62,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-75,광장동,서울특별시 광진구 아차산로70길 62,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-76,광장동,서울특별시 광진구 광나루로 585,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-77,광장동,서울특별시 광진구 아차산로70길 61,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-78,광장동,서울특별시 광진구 아차산로70길 17-16,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-79,광장동,서울특별시 광진구 아차산로70길 17-16,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-80,광장동,서울특별시 광진구 아차산로 522,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-81,광장동,서울특별시 광진구 아차산로 522,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-82,광장동,서울특별시 광진구 아차산로76길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-83,광장동,서울특별시 광진구 아차산로76길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-63,광장동,서울특별시 광진구 광장로9길 6,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-62,광장동,서울특별시 광진구 광장로7길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-38,구의2동,서울특별시 광진구 자양로40길 41,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-17,중곡4동,서울특별시 광진구 긴고랑로 197-1,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-18,중곡4동,서울특별시 광진구 영화사로9가길 13-10,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-19,중곡4동,서울특별시 광진구 영화사로9길 28,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-20,중곡4동,서울특별시 광진구 용마산로24길 13,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-21,중곡4동,서울특별시 광진구 용마산로36길 60,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-22,중곡4동,서울특별시 광진구 용마산로8가길 80,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-23,중곡4동,서울특별시 광진구 용마산로22길 26,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-24,중곡4동,서울특별시 광진구 용마산로 174,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-25,능동,서울특별시 광진구 광나루로 441,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-26,능동,서울특별시 광진구 천호대로112길 56,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-27,능동,서울특별시 광진구 천호대로124길 86,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-29,구의1동,서울특별시 광진구 자양로26길 71,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-30 (MD타워),구의2동,서울특별시 광진구 광나루로37길 24-6,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-31,구의2동,서울특별시 광진구 영화사로16길 34,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-32,구의2동,서울특별시 광진구 자양로33길 37,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-33,구의2동,서울특별시 광진구 자양로44길 141,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-34,구의2동,서울특별시 광진구 자양로48길 50,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-35,구의2동,서울특별시 광진구 자양로44길 69,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-36,구의2동,서울특별시 광진구 자양로42길 40,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-37,구의2동,서울특별시 광진구 영화사로 111,02-450-7609
