연번,시도명,시군구명,행정동명,도로명주소,구분,세부위치,박스개수,관리부서,관리자연락처,데이터기준일자
1.0,서울특별시,마포구,공덕동,서울특별시 마포구 만리재옛길 84,주민센터,공덕동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
2.0,서울특별시,마포구,공덕동,서울특별시 마포구 환일길 7,주택가,(서울제일교회) 앞,1.0,자원순환과,02-3153-9216,2026-03-18
3.0,서울특별시,마포구,공덕동,서울특별시 마포구 환일길 30,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
4.0,서울특별시,마포구,공덕동,서울특별시 마포구 마포대로14길 25,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
5.0,서울특별시,마포구,공덕동,서울특별시 마포구 임정로21길 24-3,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
6.0,서울특별시,마포구,공덕동,서울특별시 마포구 만리재로16길 20-5,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
7.0,서울특별시,마포구,공덕동,서울특별시 마포구 환일길 66,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
8.0,서울특별시,마포구,공덕동,서울특별시 마포구 환일길 19,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
9.0,서울특별시,마포구,공덕동,서울특별시 마포구 환일2길 5-1,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
10.0,서울특별시,마포구,공덕동,서울특별시 마포구 만리재로 132,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
11.0,서울특별시,마포구,공덕동,서울특별시 마포구 만리재로10길 21,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
12.0,서울특별시,마포구,아현동,서울특별시 마포구 마포대로7길 18,주민센터,아현동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
13.0,서울특별시,마포구,도화동,서울특별시 마포구 도화길 37,주민센터,도화동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
14.0,서울특별시,마포구,도화동,서울특별시 마포구 마포대로4길 18,주택가,복사골어린이공원 옆,1.0,자원순환과,02-3153-9216,2026-03-18
15.0,서울특별시,마포구,도화동,서울특별시 마포구 새창로4길 12,주택가,경보주차장 담벽,1.0,자원순환과,02-3153-9216,2026-03-18
16.0,서울특별시,마포구,도화동,서울특별시 마포구 새창로6다길 18,주택가,고고타운,1.0,자원순환과,02-3153-9216,2026-03-18
17.0,서울특별시,마포구,도화동,서울특별시 마포구 마포대로4다길 25-1,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
18.0,서울특별시,마포구,도화동,서울특별시 마포구 새창로6나길 31,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
19.0,서울특별시,마포구,용강동,서울특별시 마포구 토정로31길 31,주민센터,용강동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
20.0,서울특별시,마포구,용강동,서울특별시 마포구 토정로25안길 12,주택가,대흥동성당앞,1.0,자원순환과,02-3153-9216,2026-03-18
21.0,서울특별시,마포구,용강동,서울특별시 마포구 대흥로4길 22,주택가,방범용CCTV옆,1.0,자원순환과,02-3153-9216,2026-03-18
22.0,서울특별시,마포구,대흥동,서울특별시 마포구 신촌로26길 10,주민센터,대흥동주민센터 뒷 화단,1.0,자원순환과,02-3153-9216,2026-03-18
23.0,서울특별시,마포구,대흥동,서울특별시 마포구 고산길 54,주택가,신촌중앙교회 맞은편,1.0,자원순환과,02-3153-9216,2026-03-18
24.0,서울특별시,마포구,대흥동,서울특별시 마포구 고산2길 34-65,주택가,고래그림 앞,1.0,자원순환과,02-3153-9216,2026-03-18
25.0,서울특별시,마포구,대흥동,서울특별시 마포구 백범로 18,주택가,미화빌딩 주차장,1.0,자원순환과,02-3153-9216,2026-03-18
26.0,서울특별시,마포구,대흥동,서울특별시 마포구 백범로10길 22,주택가,디스커버리 주차장 입구,1.0,자원순환과,02-3153-9216,2026-03-18
27.0,서울특별시,마포구,대흥동,서울특별시 마포구 백범로17길 18,주택가,우정오피스 옆(용강초교 담장),1.0,자원순환과,02-3153-9216,2026-03-18
28.0,서울특별시,마포구,대흥동,서울특별시 마포구 백범로17길 7,주택가,용강초교 정문옆,1.0,자원순환과,02-3153-9216,2026-03-18
29.0,서울특별시,마포구,대흥동,서울특별시 마포구 대흥로 145,주택가,마을공원 앞,1.0,자원순환과,02-3153-9216,2026-03-18
30.0,서울특별시,마포구,대흥동,서울특별시 마포구 고산18길 14,주택가,양원주부학교맞은편,1.0,자원순환과,02-3153-9216,2026-03-18
31.0,서울특별시,마포구,대흥동,서울특별시 마포구 신촌로26길 10,주택가,우리마포복지관 주차장 입구,1.0,자원순환과,02-3153-9216,2026-03-18
32.0,서울특별시,마포구,염리동,서울특별시 마포구 숭문길 14,주민센터,염리동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
33.0,서울특별시,마포구,신수동,서울특별시 마포구 독막로 192,주민센터,신수동주민센터 옆,1.0,자원순환과,02-3153-9216,2026-03-18
34.0,서울특별시,마포구,신수동,서울특별시 마포구 신수로 102,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
