연번,구분,설치 장소,세부주소,전화번호(대표),비고,데이터기준일자
1.0,보건소,마포구 보건소,서울특별시 마포구 월드컵로 212,02-3153-9120,,2025-04-28
2.0,보건지소,마포구 보건소 아현지소,서울특별시 마포구 마포대로11길 44-81,02-3153-9882,2층,2025-04-28
3.0,보건지소,마포구 보건소 서강지소,서울특별시 마포구 독막로 165,02-3153-9842,3층,2025-04-28
4.0,주민센터,공덕동주민센터,서울특별시 마포구 만리재옛길 84,02-3153-6500,,2025-04-28
5.0,주민센터,아현동주민센터,서울특별시 마포구 마포대로7길 18,02-3153-6530,,2025-04-28
6.0,주민센터,도화동주민센터,서울특별시 마포구 도화길 37,02-3153-6560,,2025-04-28
7.0,주민센터,용강동주민센터,서울특별시 마포구 토정로31길 31,02-3153-6590,,2025-04-28
8.0,주민센터,대흥동주민센터,서울특별시 마포구 신촌로26길 10,02-3153-6620,,2025-04-28
9.0,주민센터,염리동주민센터,서울특별시 마포구 숭문길 14,02-3153-6650,,2025-04-28
10.0,주민센터,신수동주민센터,서울특별시 마포구 독막로 192,02-3153-6680,,2025-04-28
11.0,주민센터,서강동주민센터,서울특별시 마포구 독막로 165,02-3153-6710,,2025-04-28
12.0,주민센터,서교동주민센터,서울특별시 마포구 동교로15길 7,02-3153-6740,,2025-04-28
13.0,주민센터,합정동주민센터,서울특별시 마포구 월드컵로5길 11,02-3153-6770,,2025-04-28
14.0,주민센터,망원1동주민센터,서울특별시 마포구 포은로6길 10,02-3153-6800,,2025-04-28
15.0,주민센터,망원2동주민센터,서울특별시 마포구 방울내로7길 11,02-3153-6830,,2025-04-28
16.0,주민센터,연남동주민센터,서울특별시 마포구 성미산로29길 17-9,02-3153-6860,,2025-04-28
17.0,주민센터,성산1동주민센터,서울특별시 마포구 성산로4길 15,02-3153-6890,,2025-04-28
18.0,주민센터,성산2동주민센터,서울특별시 마포구 월드컵북로30길 22,02-3153-6920,,2025-04-28
19.0,주민센터,상암동주민센터,서울특별시 마포구 매봉산로2길 16,02-3153-6950,,2025-04-28
20.0,병원,신촌연세병원,서울특별시 마포구 서강로 110,02-337-7582,,2025-04-28
21.0,병원,연세한강병원,서울특별시 마포구 마포대로 25,02-1644-3099,"대농빌딩 2,3,5층",2025-04-28
22.0,병원,마포요양병원,서울특별시 마포구 성산로 128,02-337-8111,,2025-04-28
23.0,병원,에스엠씨요양병원,서울특별시 마포구 월드컵북로 165,02-374-3111,,2025-04-28
24.0,병원,푸르메재단 넥슨어린이재활병원,서울특별시 마포구 월드컵북로 494,02-6070-9000,,2025-04-28
25.0,공동주택,서강 쌍용 예가 아파트,서울특별시 마포구 독막로 145,02-333-5007,1단지 및 2단지 분리수거장,2025-04-28
26.0,공동주택,상암월드컵파크 9단지 아파트,서울특별시 마포구 월드컵북로 501,02-0000-0000,904동 및 906동 분리수거장,2025-04-28
27.0,공동주택,상수 두산 위브 아파트,서울특별시 마포구 독막로18길 5,02-322-0675,경비실 옆,2025-04-28
28.0,공동주택,망원 성원 2차 아파트,서울특별시 마포구 망원로4길 8,02-332-6479,재활용 수거장,2025-04-28
29.0,공동주택,망원 2차 대림 아파트,서울특별시 마포구 망원로1길 27,02-334-1904,재활용 수거장,2025-04-28
30.0,공동주택,래미안 밤섬 리베뉴 2차 아파트,서울특별시 마포구 독막로20나길 21,02-334-5668,203동 및 207동 분리수거장,2025-04-28
31.0,공동주택,마포한강 아이파크 아파트,서울특별시 마포구 희우정로 77,02-322-7510,"104동, 105동",2025-04-28
32.0,공동주택,상암 월드컵파크 4단지 아파트,서울특별시 마포구 상암산로1길 24,02-302-0104,"403동, 410동",2025-04-28
33.0,공동주택,월드컵 아이파크 1차 아파트,서울특별시 마포구 모래내로9길 6,02-373-6100,재활용 수거장,2025-04-28
34.0,공동주택,월드컵 아이파크 2차 아파트,서울특별시 마포구 모래내로9길 3,02-306-0770,재활용 수거장,2025-04-28
