연번,행정동,지번주소
1,월계1동,서울특별시 노원구 월계동 68-65
2,월계1동,서울특별시 노원구 월계동 68-112
3,월계1동,서울특별시 노원구 월계동 475-4
4,월계1동,서울특별시 노원구 월계동 473-6
5,월계1동,서울특별시 노원구 월계동 473-15
6,월계1동,서울특별시 노원구 월계동 447-2
7,월계1동,서울특별시 노원구 월계동 447-15
8,월계1동,서울특별시 노원구 월계동 404-17
9,월계1동,서울특별시 노원구 월계동 411-66
10,월계1동,서울특별시 노원구 월계동 411-15
11,월계1동,서울특별시 노원구 월계동 429-6
12,월계1동,서울특별시 노원구 월계동 429-7
13,월계1동,서울특별시 노원구 월계동 429-8
14,월계1동,서울특별시 노원구 월계동 407-1
15,월계1동,서울특별시 노원구 월계동 377-69
16,월계1동,서울특별시 노원구 월계동 377-70
17,월계1동,서울특별시 노원구 월계동 383-17
18,월계1동,서울특별시 노원구 월계동 377-38
19,월계1동,서울특별시 노원구 월계동 390-15
20,월계1동,서울특별시 노원구 월계동 382-50
21,월계1동,서울특별시 노원구 월계동 382-35
22,월계1동,서울특별시 노원구 월계동 392-164
23,월계1동,서울특별시 노원구 월계동 500-29
24,월계1동,서울특별시 노원구 월계동 392-47
25,월계1동,서울특별시 노원구 월계동 392-124
26,월계1동,서울특별시 노원구 월계동 469-35
27,월계1동,서울특별시 노원구 월계동 534-96
28,월계2동,서울특별시 노원구 월계동 290-1
29,월계2동,서울특별시 노원구 월계동 912
30,월계2동,서울특별시 노원구 월계동 907-15
31,월계2동,서울특별시 노원구 월계동 270-38
32,월계2동,서울특별시 노원구 월계동 272-78
33,월계2동,서울특별시 노원구 월계동 272-37
34,월계2동,서울특별시 노원구 월계동 270-6
35,월계3동,서울특별시 노원구 월계동 37-4
36,월계3동,서울특별시 노원구 월계동 37-12
37,공릉1동,서울특별시 노원구 공릉동 645-10
38,공릉1동,서울특별시 노원구 공릉동 645-2
39,공릉1동,서울특별시 노원구 공릉동 645-1
40,공릉1동,서울특별시 노원구 공릉동 661-21
41,공릉1동,서울특별시 노원구 공릉동 591-9
42,공릉1동,서울특별시 노원구 공릉동 589-28
43,공릉1동,서울특별시 노원구 공릉동 586-17
44,공릉1동,서울특별시 노원구 공릉동 587-6
45,공릉1동,서울특별시 노원구 공릉동 589-15
46,공릉1동,서울특별시 노원구 공릉동 586-15
47,공릉1동,서울특별시 노원구 공릉동 593-24
48,공릉1동,서울특별시 노원구 공릉동 584-14
49,공릉1동,서울특별시 노원구 공릉동 566-1
50,공릉1동,서울특별시 노원구 공릉동 513-9
51,공릉1동,서울특별시 노원구 공릉동 513-54
52,공릉1동,서울특별시 노원구 공릉동 517-60
53,공릉1동,서울특별시 노원구 공릉동 559-27
54,공릉1동,서울특별시 노원구 공릉동 509-12
55,공릉1동,서울특별시 노원구 공릉동 504-4
56,공릉1동,서울특별시 노원구 공릉동 393-12
57,공릉1동,서울특별시 노원구 공릉동 393-6
58,공릉1동,서울특별시 노원구 공릉동 370-10
59,공릉1동,서울특별시 노원구 공릉동 370-9
60,공릉1동,서울특별시 노원구 공릉동 366-32
61,공릉1동,서울특별시 노원구 공릉동 366-9
62,공릉1동,서울특별시 노원구 공릉동 370-2
63,공릉1동,서울특별시 노원구 공릉동 362-43
64,공릉1동,서울특별시 노원구 공릉동 379-29
65,공릉1동,서울특별시 노원구 공릉동 380-37
66,공릉1동,서울특별시 노원구 공릉동 379-5
67,공릉1동,서울특별시 노원구 공릉동 380-48
68,공릉동,서울특별시 노원구 공릉동 572-2
69,공릉1동,서울특별시 노원구 공릉동 569-20
70,공릉1동,서울특별시 노원구 공릉동 571-1
71,공릉1동,서울특별시 노원구 공릉동 404-11
72,공릉1동,서울특별시 노원구 공릉동 398-6
73,공릉1동,서울특별시 노원구 공릉동 398-10
