관할주민센터,도로명주소,상세위치,개수,비고
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 201동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 202동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 205동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 206동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 207동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 208동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 211동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 212동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 마장로 137,텐즈힐 2단지 아파트 213동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 101동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 105동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 106동 뒤(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 108동 뒤(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 109동 4~5호 라인(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 111동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 113동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 117동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 33,텐즈힐 1단지 아파트 118동 앞(재활용장 안),1,
왕십리도선동,서울특별시 성동구 무학로 50,청계벽산아파트 103동 앞,1,
왕십리도선동,서울특별시 성동구 무학로 50,청계벽산아파트 107동 앞,1,
왕십리도선동,서울특별시 성동구 무학로6길 50,성동삼성쉐르빌 상가 입구(이코플러스마트 입구),1,
왕십리도선동,서울특별시 성동구 무학로12길 11,청계대주파크빌 재활용장 안,1,
왕십리도선동,서울특별시 성동구 무학로8길 8,도선마을공원 앞,1,
왕십리도선동,서울특별시 성동구 왕십리로 410,센트라스 아파트 각 동 재활용장 안,30,
왕십리2동,서울특별시 성동구 무학봉길 69,24시 셀프 빨래방 맞은편,1,
왕십리2동,서울특별시 성동구 난계로 100,자이아파트 101동(필로티 안쪽),1,
왕십리2동,서울특별시 성동구 난계로 100,자이아파트 103동(필로티 안쪽),1,
왕십리2동,서울특별시 성동구 난계로 100,자이아파트 104동(필로티 안쪽),1,
왕십리2동,서울특별시 성동구 난계로 100,자이아파트 105동(필로티 안쪽),1,
왕십리2동,서울특별시 성동구 난계로 100,자이아파트 107동(필로티 안쪽),1,
왕십리2동,서울특별시 성동구 왕십리로31나길 22,한신무학 정문 뒤,1,
왕십리2동,서울특별시 성동구 왕십리로31길 20,해모로 101동 앞(재활용수거장),1,
왕십리2동,서울특별시 성동구 무학봉길 76,신영지웰 101동 뒷편(재활용수거장),1,
왕십리2동,서울특별시 성동구 무학봉길 49,무학현대 101동 앞 계단,1,
왕십리2동,서울특별시 성동구 무학봉길 49,무학현대 102동 뒷편,1,
왕십리2동,서울특별시 성동구 난계로 73,극동미라주102동 앞(재활용수거장),1,
왕십리2동,서울특별시 성동구 난계로 73,극동미라주 임대동 앞(재활용수거장),1,
왕십리2동,서울특별시 성동구 난계로 84,풍림아이원 103동 앞(관리초소 옆),1,
왕십리2동,서울특별시 성동구 난계로 84,풍림아이원 105동 앞(관리초소 옆),1,
왕십리2동,서울특별시 성동구 난계로 84,풍림아이원 110동 앞(관리초소 옆),1,
왕십리2동,서울특별시 성동구 무학봉길 35,스위첸 101동 앞 계단(재활용수거장),1,폐형광등 수거함만 있음
왕십리2동,서울특별시 성동구 무학봉길 35,"스위첸 101동, 102동 사이(동물놀이터 옆)",1,폐형광등 수거함만 있음
왕십리2동,서울특별시 성동구 무학봉길 35,스위첸 103동 앞,1,폐형광등 수거함만 있음
왕십리2동,서울특별시 성동구 무학봉길 35,스위첸 103동(어린이집 옆),1,폐형광등 수거함만 있음
왕십리2동,서울특별시 성동구 난계로 114-31,금호베스트빌 101동 앞(재활용수거장),1,
왕십리2동,서울특별시 성동구 난계로 114-31,금호베스트빌 103동 앞(재활용수거장),1,
왕십리2동,서울특별시 성동구 난계로 114-31,금호베스트빌 104동 앞(재활용수거장),1,
마장동,서울특별시 성동구 마조로16길 37,명성연립과 마장동주민센터 사이 횡단보도 주변,1,
마장동,서울특별시 성동구 마장로42길 16,세림(아) 4동 분리수거장,1,
마장동,서울특별시 성동구 마장로42길 16,세림(아) 9동 의류수거함 옆,1,
마장동,서울특별시 성동구 마장로35길 104,청계장원(아) 뒤쪽 분리수거장,1,
마장동,서울특별시 성동구 마조로15가길 23,SH빌 101동 분리수거장,1,
마장동,서울특별시 성동구 마장로39길 43,신성미소지움(아) 103동 3~4호라인 의류수거함 옆,1,
마장동,서울특별시 성동구 마장로 262,중앙하이츠 102동 1~2호 라인 앞 자전거보관소 우측,1,
마장동,서울특별시 성동구 마조로15가길 12,백양세탁소 앞,1,
마장동,서울특별시 성동구 마조로16길 3-8,미성빌라 관리사무실 옆,1,
마장동,서울특별시 성동구 마조로 57,금호어울림(아) 정문 관리사무소 뒤,1,
마장동,서울특별시 성동구 마조로 57,금호어울림(아) 105동 앞 분리수거장,1,
마장동,서울특별시 성동구 마장로 271,삼성(아) 103동 1~2호 라인 앞 흰색 환풍시설 주변,1,
마장동,서울특별시 성동구 마장로 271,삼성(아) 104동 1~2호 라인 의류수거함 옆,1,
마장동,서울특별시 성동구 살곶이길 50,현대(아) 관리실 건물 내,2,
마장동,서울특별시 성동구 마장로37길 7,대성유니드(아) 경비실 옆,1,
마장동,서울특별시 성동구 청계천로 546,성동구도시관리공단 후문,1,
마장동,서울특별시 성동구 마장로46길 14,삼웅(아) 1동 지하주차장 출입구 맞은편 의류수거함 옆,1,
마장동,서울특별시 성동구 마장로46길 14,삼웅(아) 2동 지하주차장 출입구 맞은편,1,
마장동,서울특별시 성동구 청계천로10나길 38,마장동공영주차장 뒤편,1,
마장동,서울특별시 성동구 마장동 487-1,마장축산물시장 남문 맞은편 한국전력공사 담벼락,1,
사근동,서울특별시 성동구 사근동길 37,지하주차장 입구 옆,1,
사근동,서울특별시 성동구 살곶이길 176,사근벽산아파트 재활용품 수거장,1,
사근동,서울특별시 성동구 사근동길 65,중앙하이츠 아파트 102동 일반쓰레기 배출장,1,
사근동,서울특별시 성동구 왕십리로 241,서울숲더샵 아파트 각 동 건물 뒤편 수거장,1,
사근동,서울특별시 성동구 사근동11다길 32,언덕 올라가는 길 초입,1,
사근동,서울특별시 성동구 사근동9가길 23,성민교회 입구 옆,1,
행당제1동,서울특별시 성동구 고산자로10길 18,주민센터 레몬프라자 방향 주차장 옆,2,
행당제1동,서울특별시 성동구 왕십리광장로 9,성동경찰서 본관 서측 뒤편 주차장 옆,1,
행당제1동,서울특별시 성동구 고산자로 164,서울숲한신더휴아파트 105동 초소 앞,1,
