연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
1,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 101동 재활용장,1
2,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 105동 재활용장,1
3,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 108동 재활용장,1
4,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 110 재활용장,1
5,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 112동 재활용장,1
6,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 201동 재활용장,1
7,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 205동 재활용장,1
8,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 206동 재활용장,1
9,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 207동 재활용장,1
10,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 208동 재활용장,1
11,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 210동 재활용장,1
12,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 212동 재활용장,1
13,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 214동 재활용장,1
14,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 215동 재활용장,1
15,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 216동 재활용장,1
16,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 217동 재활용장,1
17,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 218동 재활용장,1
18,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 219동 재활용장,1
19,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 302동 재활용장,1
20,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 303동 재활용장,1
21,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 305동 재활용장,1
22,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 308동 재활용장,1
23,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 310동 재활용장,1
24,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 311동 재활용장,1
25,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 312동 재활용장,1
26,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 313동 재활용장,1
