순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
1,신흥동 행정복지센터,중소폐가전,수거함 설치,경기 부천시 오정구 삼작로 109 신흥동 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
2,오정동 행정복지센터,중소폐가전,수거함 설치,경기 부천시 오정구 오정로252번길 88 오정동 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
3,고강1동 행정복지센터,중소폐가전,수거함 설치,경기 부천시 오정구 고강로72번길 8 고강1동 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
4,원종2종 행정복지센터,중소폐가전,수거함 설치,경기 부천시 오정구 성오로 129 원종2종 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
5,원종1종 행정복지센터,중소폐가전,수거함 설치,경기 부천시 오정구 원종로51번길 43 원종1종 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
6,심곡3동 행정복지센터,중소폐가전,수거함 설치,경기 부천시 원미구 부일로 393 심곡3동 행정복지센터,"지자체(구청, 행정복지센터 등)",무상
7,sk하이닉스 사원아파트,중소폐가전,수거함 설치,경기도 이천시 부발읍 아미리 산148-1 ,공동주택(아파트 등),무상
8,경남 아너스빌,중소폐가전,수거함 설치,충청남도 아산시 문화로 115 ,공동주택(아파트 등),무상
9,권곡 서해그랑블 1단지,중소폐가전,수거함 설치,충청남도 아산시 문화로 257-20 ,공동주택(아파트 등),무상
10,권곡 서해그랑블 2단지,중소폐가전,수거함 설치,충청남도 아산시 문화로 257-24 ,공동주택(아파트 등),무상
11,권곡주공아파트,중소폐가전,수거함 설치,충청남도 아산시 박물관로 13 ,공동주택(아파트 등),무상
12,권곡청솔아파트,중소폐가전,수거함 설치,충청남도 아산시 문화로 257-17 ,공동주택(아파트 등),무상
13,대주아파트,중소폐가전,수거함 설치,충청남도 아산시 신창면 행목로 152 ,공동주택(아파트 등),무상
14,동아나래 2차,중소폐가전,수거함 설치,충청남도 아산시 온천대로 1333번길 10 ,공동주택(아파트 등),무상
15,동일하이빌,중소폐가전,수거함 설치,충청남도 아산시 남부로 353 ,공동주택(아파트 등),무상
16,득산 부영아파트,중소폐가전,수거함 설치,충청남도 아산시 온천대로 1105-17 ,공동주택(아파트 등),무상
