연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량,비고
1,당산1동,영등포구 국회대로 522,공동주택,삼익아파트,1,
2,당산1동,영등포구 당산로31길 32,공동주택,쌍용예가아파트,3,
3,당산1동,영등포구 선유동1로 50,공동주택,더파크365,1,
4,당산1동,영등포구 양산로17길 22,공동주택,당산금호어울림2차아파트,1,
5,당산1동,영등포구 영등포로 112,공동주택,대우미래사랑3차아파트,1,
6,당산1동,영등포구 영등포로 106,공동주택,대우아파트,1,
7,당산1동,영등포구 당산로 95,공동주택,당산2가현대홈타운아파트,1,
8,당산1동,영등포구 영신로 193,공동주택,당산한양아파트,1,
9,당산1동,영등포구 영신로 191,공동주택,동부센트레빌아파트,4,
10,당산1동,영등포구 영신로 183,공동주택,당산에스에이치빌 아파트,1,
11,당산1동,영등포구 양산로25길 16,공동주택,당산계룡리슈빌 1단지,1,
12,당산1동,영등포구 양산로25길 8,공동주택,당산계룡리슈빌 2단지,1,
13,당산1동,영등포구 양산로25길 12,공동주택,당산계룡리슈빌 3단지,1,
14,당산1동,영등포구 국회대로36길 17,공동주택,리앤나빌리지,1,
15,당산1동,영등포구 영신로33길 3,공동주택,신동아파밀리에아파트,1,
16,당산1동,영등포구 영등포로28길 5,공동주택,코오롱아파트,1,
17,당산1동,영등포구 당산로 68,공동주택,진로아파트,1,
18,당산2동,영등포구 당산로42길 16,공동주택,당산현대5차아파트,2,
19,당산2동,영등포구 당산로41길 23,공동주택,당산현대3차아파트,2,
20,당산2동,영등포구 국회대로29길 5,공동주택,당산현대2차아파트,1,
21,당산2동,영등포구 국회대로29길 13,공동주택,당산유원제일1차아파트,1,
22,당산2동,영등포구 선유동2로 56,공동주택,당산유원제일2차아파트,3,
23,당산2동,영등포구 양평로 57,공동주택,성원아파트,1,
24,당산2동,영등포구 당산로45길 7-3,공동주택,반도보라빌아파트,1,
25,당산2동,영등포구 당산로 205,공동주택,효성헤링턴타워오피스텔,1,
26,당산2동,영등포구 당산로 203,공동주택,데시앙루브오피스텔,1,
27,당산2동,영등포구 당산로 175,공동주택,삼익플라주아파트,1,
28,당산2동,영등포구 당산로54길 11,공동주택,래미안당산1차,1,
29,당산2동,영등포구 당산로36길 12,공동주택,당산삼성2차,2,
30,당산2동,영등포구 당산로 214,공동주택,래미안당산4차,4,
31,당산2동,영등포구 버드나루로22길 7,공동주택,드림리버빌 아파트,1,
32,당산2동,영등포구 버드나루로22길 5,공동주택,강변한솔그라치아,1,
33,당산2동,영등포구 버드나루로 130,공동주택,강변래미안아파트,5,
34,당산2동,영등포구 버드나루로 142,공동주택,한산오피스텔,1,
35,당산2동,영등포구 당산로42길 13,공동주택,효성1차아파트,1,
36,당산2동,영등포구 당산로42길 7,공동주택,효성2차아파트,1,
37,당산2동,영등포구 영신로 237,공동주택,롯데캐슬프레스티지,2,
38,당산2동,영등포구 국회대로37길 22,공동주택,당산금호어울림아파트,1,
39,당산2동,영등포구 영신로57길 5,공동주택,한강아파트,1,
40,당산2동,영등포구 영신로 219,공동주택,코오롱스타폴리스,1,
41,당산2동,영등포구 영신로55길 8,공동주택,브라운스톤당산아파트,1,
42,당산2동,영등포구 국회대로 597,공동주택,반도유보라팰리스아파트,1,
43,당산2동,영등포구 버드나루로16길 5,공동주택,칸리버팰리스,1,
44,당산2동,영등포구 국회대로53길 30,공동주택,드림시드아파트,1,
45,양평1동,영등포구 선유로 172,공동주택,삼호아파트,1,
46,양평1동,영등포구 선유로33길 10,공동주택,양평대우이안1차아파트,1,
47,양평1동,영등포구 선유로33길 18,공동주택,양평대우이안2차아파트,1,
48,양평1동,영등포구 선유로33길 22,공동주택,경남아너스빌아파트,1,
49,양평1동,영등포구 선유로33길 23,공동주택,우림루미아트아파트,1,
50,양평1동,영등포구 양산로 43,공동주택,우림EBIZ센터 2차,1,
51,양평1동,영등포구 양산로7길 3,공동주택,우림보보카운티오피스텔,1,
52,양평1동,영등포구 선유서로 116,공동주택,월드메르디앙아파트,1,
53,양평1동,영등포구 선유서로 128,공동주택,대우미래사랑오피스텔,1,
54,양평1동,영등포구 선유서로34길 6,공동주택,태승훼미리아파트,1,
55,양평1동,영등포구 양산로 11,공동주택,미소지움아파트,1,
56,양평1동,영등포구 선유서로 115,공동주택,삼천리아파트,1,
57,양평1동,영등포구 영등포로 17,공동주택,상록수아파트,1,
58,양평1동,영등포구 영등포로3길 9,공동주택,삼성래미안아파트,1,
59,양평1동,영등포구 선유서로21길 19,공동주택,벽산블루밍아파트,1,
60,양평1동,영등포구 영등포로12길 7,공동주택,양평동서통한신아파트,1,
61,양평1동,영등포구 영등포로12길 8,공동주택,신동아아파트,4,
62,양평1동,영등포구 영등포로 49,공동주택,삼환아파트,1,
63,양평1동,영등포구 영등포로 32,공동주택,우남푸르미아오피스텔,1,
64,양평1동,영등포구 선유서로 67,공동주택,신동아하이팰리스,1,
65,양평1동,영등포구 선유서로 59,공동주택,힘멜하임오피스텔,1,
66,양평1동,영등포구 문래로 21,공동주택,샤르망오피스텔,1,
