행정동,도로명주소,지번주소,위도,경도,데이터기준일자
당산1동,서울특별시 영등포구 국회대로38길 18,서울특별시 영등포구 당산동3가 80-3,37.52545384,126.8986723,2025-08-22
당산1동,서울특별시 영등포구 양산로25길 3-1,서울특별시 영등포구 당산동3가 13,37.52411434,126.8983853,2025-08-22
당산1동,서울특별시 영등포구 당산로10길 21,서울특별시 영등포구 당산동1가 113,37.52169111,126.8982972,2025-08-22
당산1동,서울특별시 영등포구 당산로14길 10-1,서울특별시 영등포구 당산동1가 255-28,37.52227727,126.897015,2025-08-22
당산1동,서울특별시 영등포구 양산로23길 11,서울특별시 영등포구 당산동3가 250,37.52512811,126.8974049,2025-08-22
당산1동,서울특별시 영등포구 양산로23길 14,,,,2025-08-22
당산1동,서울특별시 영등포구 당산로32길 7-4,서울특별시 영등포구 당산동3가 158-1,37.52652031,126.8977862,2025-08-22
당산1동,서울특별시 영등포구 선유동1로 20-10,서울특별시 영등포구 당산동2가 147-7,37.52363063,126.8923275,2025-08-22
당산1동,서울특별시 영등포구 당산로27길 7,서울특별시 영등포구 당산동3가 363,37.5249831,126.8955041,2025-08-22
당산1동,서울특별시 영등포구 국회대로30길 14,서울특별시 영등포구 당산동3가 395-3,37.52698911,126.8953256,2025-08-22
당산1동,서울특별시 영등포구 영신로39길 14-1,서울특별시 영등포구 당산동1가 155-2,37.52182447,126.8996821,2025-08-22
당산1동,서울특별시 영등포구 영등포로28길 5,서울특별시 영등포구 당산동1가 9-1,37.51995668,126.899242,2025-08-22
문래동,서울특별시 영등포구 선유로3길 21,서울특별시 영등포구 문래동5가 19-8,37.51605543,126.8853137,2025-08-22
문래동,서울특별시 영등포구 선유로 28,서울특별시 영등포구 문래동4가 10-4,37.51640521,126.8887147,2025-08-22
문래동,서울특별시 영등포구 영등포로20길 22-8,서울특별시 영등포구 문래동3가 82-12,37.51995006,126.8918587,2025-08-22
문래동,서울특별시 영등포구 도림로128가길 1,서울특별시 영등포구 문래동3가 54-5,37.51442403,126.8957676,2025-08-22
양평1동,서울특별시 영등포구 선유서로 103-3,서울특별시 영등포구 양평동2가 33-48,37.52491776,126.8857593,2025-08-22
양평1동,서울특별시 영등포구 문래북로 57,서울특별시 영등포구 양평동1가 1-42,37.52091602,126.8915548,2025-08-22
양평1동,서울특별시 영등포구 영등포로5길 12,서울특별시 영등포구 양평동2가 32-11,,,2025-08-22
양평1동,서울특별시 영등포구 영등포로3길 23 육교 앞,서울특별시 영등포구 양평동2가 43-14,,,2025-08-22
양평1동,서울특별시 영등포구 양산로3길 9 건너편,서울특별시 영등포구 양평동3가 30-19,37.52642209,126.8850352,2025-08-22
양평1동,서울특별시 영등포구 선유서로31길 1 건너편,서울특별시 영등포구 양평동3가 23-3,37.52638471,126.8861656,2025-08-22
양평1동,서울특별시 영등포구 선유서로 129 건너편,서울특별시 영등포구 양평동3가 32-1,37.52722591,126.8864672,2025-08-22
양평1동,서울특별시 영등포구 선유서로34길 13 건너편,서울특별시 영등포구 양평동3가 56-4,37.52741176,126.8875694,2025-08-22
양평1동,서울특별시 영등포구 영등포로 14-3,서울특별시 영등포구 양평동2가 22-1,37.52277965,126.8833253,2025-08-22
양평1동,서울특별시 영등포구 양산로9길 15 건너편,서울특별시 영등포구 양평동3가 37-1,,,2025-08-22
양평1동,서울특별시 영등포구 선유로 149 건너편,서울특별시 영등포구 양평동3가 50,,,2025-08-22
